condition,successes,N,success_rate,environment_steps,policy_queries,query_rate,wall_clock_seconds_sum,wall_clock_seconds_mean_episode
H16,357,450,0.7933333333333333,92656,6010,0.06486358141944397,2567.156098733889,5.704791330519753
H4,314,450,0.6977777777777778,100794,25315,0.2511558227672282,3930.8846982561518,8.735299329458115
ARM4_GRIP32,335,450,0.7444444444444445,96201,24177,0.2513175538715814,3778.226224778453,8.396058277285452
H2,295,450,0.6555555555555556,106321,53237,0.5007195191918812,5922.099316030042,13.160220702288983
ARM2_GRIP16,321,450,0.7133333333333334,99268,49724,0.5009066365797639,5563.690168300178,12.363755929555952
TE_DENSE,288,450,0.64,105947,105947,1.0,8993.31300985138,19.985140021891954
