contrast,first_successes,second_successes,N,first_only,second_only,delta_percentage_points,exact_two_sided_mcnemar_p,paired_bootstrap_ci_percentage_points,task_cluster_bootstrap_ci_percentage_points
H16-H4,357,314,450,60,17,9.555555555555555,8.909847968334874e-07,"[5.777777777777778, 13.333333333333334]","[4.444444444444444, 15.333333333333336]"
H4-H2,314,295,450,32,13,4.222222222222222,0.00660882284228137,"[1.3333333333333335, 7.111111111111111]","[1.3333333333333333, 7.111111111111114]"
ARM4_GRIP32-H4,335,314,450,32,11,4.666666666666667,0.001913961001264397,"[2.0, 7.555555555555555]","[0.6666666666666664, 9.111111111111114]"
ARM2_GRIP16-H2,321,295,450,28,2,5.777777777777778,8.67992639541626e-07,"[3.5555555555555554, 8.222222222222223]","[2.6666666666666665, 9.555555555555555]"
ARM4_GRIP32-H16,335,357,450,24,46,-4.888888888888889,0.011526409654363481,"[-8.666666666666668, -1.3333333333333335]","[-9.333333333333336, -0.22222222222222252]"
ARM2_GRIP16-H16,321,357,450,24,60,-8.0,0.00010714768358467153,"[-12.0, -4.222222222222222]","[-12.222222222222225, -3.7777777777777777]"
TE_DENSE-H16,288,357,450,14,83,-15.333333333333332,4.2224144708722075e-13,"[-19.333333333333332, -11.333333333333332]","[-21.555555555555554, -10.0]"
TE_DENSE-ARM4_GRIP32,288,335,450,31,78,-10.444444444444445,7.733924871438956e-06,"[-14.888888888888888, -6.0]","[-17.777777777777775, -3.7777777777777786]"
