q,method,query_boundary_count,overall_mean,arm_mean,gripper_mean,overall_median,arm_median,gripper_median
4,global_replace,9250,0.2414873815973815,0.2192842510134424,0.20647216382920708,0.2143982684384306,0.196745077877437,0.10651211372991554
4,selective_commit,11212,0.30911291876726965,0.2512266661646379,0.3330643411239832,0.3021531489898426,0.24440457529582768,0.31005295998026516
8,global_replace,4410,0.33857046960571374,0.3134666205316076,0.29620118493898284,0.27536032850488773,0.2638047678340275,0.16322274620440813
8,selective_commit,5360,0.38147964610546437,0.3353560802973344,0.3406771784039859,0.3655995929060556,0.31828808425111,0.297313543825529
16,global_replace,2120,0.38878984560530727,0.37551534558921973,0.28908554434890354,0.34887039173604384,0.3383313381312727,0.25049753092898014
16,selective_commit,2748,0.4516890098059254,0.43381882671344996,0.2850104082408398,0.4626441981545094,0.43628105371934167,0.2645457430371453
