q,method,successes,episodes,success_rate,success_rate_ci95_low,success_rate_ci95_high,queries_per_rollout,queries_per_executed_step,mean_arm_generation_switches,mean_gripper_generation_switches,mean_arm_age,mean_gripper_age,overall_discontinuity_mean,arm_discontinuity_mean,gripper_discontinuity_mean,source_exhaustion_steps,paired_selective_minus_global_delta,paired_bootstrap_ci_low,paired_bootstrap_ci_high
4,global_replace,129,200,0.645,0.5765211307549043,0.7080137245956883,47.25,0.2513899603628528,46.25,46.25,1.4933179809062358,1.4933179809062358,0.2414873815973815,0.2192842510134424,0.20647216382920708,0,-0.26,-0.35,-0.165
4,selective_commit,77,200,0.385,0.32033309726923215,0.45400132779753916,57.06,0.25064241945048427,10.67,14.74,20.635278415288486,22.841555562427708,0.30911291876726965,0.2512266661646379,0.3330643411239832,0,-0.26,-0.35,-0.165
8,global_replace,132,200,0.66,0.5918849552683626,0.7220845402909121,23.05,0.12642953130570717,22.05,22.05,3.4738733992145177,3.4738733992145177,0.33857046960571374,0.3134666205316076,0.29620118493898284,0,-0.2,-0.285,-0.115
8,selective_commit,92,200,0.46,0.39233051799971463,0.5291771081104667,27.8,0.12578047235544296,7.12,6.735,25.627699047517645,30.106379887098175,0.38147964610546437,0.3353560802973344,0.3406771784039859,347,-0.2,-0.285,-0.115
16,global_replace,140,200,0.7,0.6332093162728074,0.7592525531762859,11.6,0.0649405178446466,10.6,10.6,7.343891102802686,7.343891102802686,0.38878984560530727,0.37551534558921973,0.28908554434890354,0,-0.29,-0.375,-0.205
16,selective_commit,82,200,0.41,0.34415674908482885,0.4792354096630791,14.74,0.06466330335599912,4.95,3.29,30.961379557612005,39.234787591903675,0.4516890098059254,0.43381882671344996,0.2850104082408398,1979,-0.29,-0.375,-0.205
