condition,executed_steps,g_mean,g_std,g_min,g_p05,g_p25,g_p50,g_p75,g_p95,g_max,abs_g_mean,abs_g_std,abs_g_min,abs_g_p05,abs_g_p25,abs_g_p50,abs_g_p75,abs_g_p95,abs_g_max,fraction_abs_g_lt_0_25,fraction_abs_g_lt_0_50,gripper_sign_state_switches,eligible_adjacent_pairs,gripper_sign_state_switch_rate
H16,92656,-0.2303797140644895,0.9874203899167601,-1.363938570022583,-1.1060506701469421,-1.0436425507068634,-1.0088825821876526,1.026675045490265,1.067201018333435,1.3513141870498657,0.9992860823811729,0.17175903072354085,4.9583613872528076e-05,0.615140900015831,1.0177723169326782,1.0355355739593506,1.057213544845581,1.1138691008090973,1.363938570022583,0.017991279571749265,0.03925271973752374,2254,92206,0.024445263865692037
H4,100794,-0.22886942698599877,0.9916939615955909,-1.3676759004592896,-1.1112885236740113,-1.0474750995635986,-1.0082767605781555,1.026695728302002,1.072028076648712,1.313491702079773,1.0044812560349992,0.1638765826724705,8.180364966392517e-05,0.6653955131769181,1.018089473247528,1.037592887878418,1.060845971107483,1.1201371490955352,1.3676759004592896,0.01531837212532492,0.03414885806694843,2741,100344,0.0273160328470063
ARM4_GRIP32,96201,-0.08609196617114301,1.007714691802134,-1.363938570022583,-1.1015567779541016,-1.0389857292175293,-0.8605527877807617,1.0301676988601685,1.0657421350479126,1.3998441696166992,0.9963626960921085,0.17367240583681667,8.2455575466156e-05,0.6001926064491272,1.0176688432693481,1.034031867980957,1.054538607597351,1.1090553998947144,1.3998441696166992,0.018939512063284165,0.04045695990686168,1920,95751,0.020052009900679887
H2,106321,-0.20010617114975623,0.9952500681785852,-1.363938570022583,-1.111905813217163,-1.0445175170898438,-1.0011372566223145,1.0259811878204346,1.0724231004714966,1.3068076372146606,1.0016596315445274,0.16505502257058186,1.9647181034088135e-05,0.6675890684127808,1.0161736011505127,1.035868525505066,1.060370922088623,1.1189101934432983,1.363938570022583,0.01601753181403486,0.034630976006621454,2122,105871,0.02004326019400969
ARM2_GRIP16,99268,-0.14134941267609347,1.001523390405329,-1.363938570022583,-1.1044068157672882,-1.0415164232254028,-0.9867326021194458,1.0285914242267609,1.0682413935661317,1.376312494277954,0.9963433218629383,0.17415149431453758,8.016079664230347e-05,0.5929599344730377,1.0173907577991486,1.0348007678985596,1.05696702003479,1.1122537851333618,1.376312494277954,0.01777007696337188,0.04032518031994198,2370,98818,0.023983484790220406
TE_DENSE,105947,-0.1531954880376115,0.859030733095065,-1.3493006229400635,-1.0921460032463073,-1.0289257764816284,-0.27939385175704956,0.8795875310897827,1.0536901235580445,1.2910610437393188,0.797359314743243,0.3544302204230232,3.844499588012695e-06,0.09025727435946465,0.5138710141181946,1.0187700986862183,1.0438808798789978,1.0957016110420228,1.3493006229400635,0.14270342718529075,0.24409374498570038,1081,105497,0.010246736874034332
