age_steps,age_seconds,empirical_unweighted_candidate_count,empirical_unweighted_candidate_fraction,empirical_normalized_weight_mass_fraction,theoretical_steady_state_unweighted_fraction,theoretical_steady_state_normalized_weight
0,0.0,105947,0.012637885983835691,0.023535254490879176,0.01,0.005848963143130627
1,0.05,105497,0.012584207741953185,0.019481693861365043,0.01,0.00590774619998823
2,0.1,105047,0.012530529500070676,0.017521716059722466,0.01,0.005967120036388971
3,0.15000000000000002,104597,0.012476851258188168,0.01625345703607637,0.01,0.0060270905897659675
4,0.2,104147,0.01242317301630566,0.015328142453886754,0.01,0.006087663857224532
5,0.25,103697,0.012369494774423152,0.01460692847268452,0.01,0.006148845896141889
6,0.30000000000000004,103247,0.012315816532540646,0.014020721093952762,0.01,0.006210642824772917
7,0.35000000000000003,102797,0.012262138290658137,0.013530222732937195,0.01,0.0062730608228619734
8,0.4,102347,0.012208460048775628,0.013110986267427033,0.01,0.006336106132260885
9,0.45,101897,0.012154781806893122,0.012746788550101109,0.01,0.00639978505755313
10,0.5,101447,0.012101103565010613,0.012426325191926955,0.01,0.006464103966684301
11,0.55,100997,0.012047425323128106,0.012141412067942994,0.01,0.006529069291598911
12,0.6000000000000001,100547,0.011993747081245598,0.01188593871821852,0.01,0.0065946875288835916
13,0.65,100097,0.01194006883936309,0.011655225829762205,0.01,0.00666096524041675
14,0.7000000000000001,99647,0.011886390597480583,0.011445613174522463,0.01,0.006727909054024774
15,0.75,99197,0.011832712355598074,0.011254185554800174,0.01,0.0067955256641448105
16,0.8,98747,0.011779034113715565,0.01107858483690313,0.01,0.006863821832494217
17,0.8500000000000001,98297,0.011725355871833059,0.01091687758238676,0.01,0.006932804388746746
18,0.9,97847,0.01167167762995055,0.010767459672856673,0.01,0.007002480231215504
19,0.9500000000000001,97397,0.011617999388068043,0.010628986198545007,0.01,0.007072856327542803
20,1.0,96947,0.011564321146185535,0.010500318997394982,0.01,0.007143939715396924
21,1.05,96497,0.011510642904303026,0.010380486777867737,0.01,0.007215737503175887
22,1.1,96047,0.01145696466242052,0.010268654376232794,0.01,0.007288256870718302
23,1.1500000000000001,95597,0.011403286420538011,0.010164098752606333,0.01,0.007361505070021357
24,1.2000000000000002,95147,0.011349608178655502,0.010066190031761148,0.01,0.007435489425966022
25,1.25,94697,0.011295929936772996,0.00997437637039627,0.01,0.007510217337049545
26,1.3,94247,0.011242251694890487,0.009888171762515023,0.01,0.0075856962761253095
27,1.35,93797,0.01118857345300798,0.009807146126087992,0.01,0.0076619337911501195
28,1.4000000000000001,93347,0.011134895211125472,0.00973091717800707,0.01,0.007738937505939012
29,1.4500000000000002,92897,0.011081216969242963,0.009659143725533646,0.01,0.007816715120927634
30,1.5,92447,0.011027538727360457,0.00959152008813191,0.01,0.0078952744139423
31,1.55,91997,0.010973860485477948,0.009527771429957223,0.01,0.007974623240977776
32,1.6,91547,0.01092018224359544,0.009467649830134183,0.01,0.008054769536982892
33,1.6500000000000001,91097,0.010866504001712933,0.009410930956143555,0.01,0.008135721316654038
34,1.7000000000000002,90647,0.010812825759830424,0.009357411232688346,0.01,0.008217486675236639
35,1.75,90197,0.010759147517947917,0.009306905420399424,0.01,0.008300073789334693
36,1.8,89747,0.010705469276065409,0.009259244535517267,0.01,0.00838349091772843
37,1.85,89297,0.0106517910341829,0.009214274054661985,0.01,0.008467746402200205
38,1.9000000000000001,88847,0.010598112792300394,0.009171852359322483,0.01,0.008552848668368682
39,1.9500000000000002,88397,0.010544434550417885,0.009131849382604702,0.01,0.00863880622653139
40,2.0,87947,0.010490756308535376,0.009094145428126497,0.01,0.008725627672515782
41,2.0500000000000003,87497,0.01043707806665287,0.009058630134634408,0.01,0.008813321688538807
42,2.1,87047,0.010383399824770361,0.009025201566584722,0.01,0.008901897044075143
43,2.15,86597,0.010329721582887854,0.008993765411592622,0.01,0.00899136259673416
44,2.2,86147,0.010276043341005346,0.008964234271181272,0.01,0.009081727293145677
45,2.25,85697,0.010222365099122837,0.008936527031244937,0.01,0.00917300016985464
46,2.3000000000000003,85247,0.01016868685724033,0.008910568302524374,0.01,0.009265190354224783
47,2.35,84797,0.010115008615357822,0.008886287921611348,0.01,0.009358307065351363
48,2.4000000000000004,84347,0.010061330373475313,0.008863620504750164,0.01,0.009452359614983094
49,2.45,83897,0.010007652131592807,0.008842505048146057,0.01,0.009547357408453317
50,2.5,83447,0.009953973889710298,0.008822884569241811,0.01,0.009643309945620543
51,2.5500000000000003,82997,0.009900295647827791,0.008804705783426982,0.01,0.00974022682181845
52,2.6,82547,0.009846617405945283,0.008787918812943638,0.01,0.009838117728815418
53,2.6500000000000004,82097,0.009792939164062774,0.008772476923440995,0.01,0.00993699245578373
54,2.7,81647,0.009739260922180267,0.008758336285711085,0.01,0.010036860890278474
55,2.75,81197,0.009685582680297759,0.008745455759388107,0.01,0.010137733019226325
56,2.8000000000000003,80747,0.00963190443841525,0.00873379669663937,0.01,0.010239618929924237
57,2.85,80297,0.009578226196532744,0.008723322763033422,0.01,0.010342528811048187
58,2.9000000000000004,79847,0.009524547954650235,0.008713999774724946,0.01,0.010446472953672042
59,2.95,79397,0.009470869712767728,0.008705795549473518,0.01,0.010551461752296688
60,3.0,78947,0.00941719147088522,0.008698679770358608,0.01,0.010657505705889478
61,3.0500000000000003,78497,0.009363513229002711,0.00869262386100989,0.01,0.010764615418934143
62,3.1,78047,0.009309834987120204,0.008687600871373935,0.01,0.010872801602491242
63,3.1500000000000004,77597,0.009256156745237696,0.008683585372269204,0.01,0.01098207507526929
64,3.2,77147,0.00920247850335519,0.008680553358994461,0.01,0.011092446764706623
65,3.25,76697,0.00914880026147268,0.00867848216215075,0.01,0.011203927708064165
66,3.3000000000000003,76247,0.009095122019590172,0.008677350365498805,0.01,0.01131652905352915
67,3.35,75797,0.009041443777707665,0.00867713773022971,0.01,0.011430262061329962
68,3.4000000000000004,75347,0.008987765535825157,0.008677825124812499,0.01,0.011545138104862154
69,3.45,74897,0.008934087293942648,0.008679394460237336,0.01,0.011661168671825815
70,3.5,74448,0.008880528337042103,0.0086820170637056,0.01,0.011778365365374329
71,3.5500000000000003,74001,0.008827207950105477,0.008685861588331897,0.01,0.011896739905274718
72,3.6,73560,0.00877460327306062,0.008691648713956989,0.01,0.012016304129079619
73,3.6500000000000004,73120,0.008722117880997724,0.008698439050407729,0.01,0.012137069993311048
74,3.7,72681,0.008669751773916788,0.008706217835206463,0.01,0.012259049574656065
75,3.75,72244,0.008617624236799775,0.008715150942941726,0.01,0.012382255071174457
76,3.8000000000000003,71811,0.008565973839610606,0.008725580298779661,0.01,0.012506698803518549
77,3.85,71380,0.00851456201238536,0.008737136415961966,0.01,0.012632393216165274
78,3.9000000000000004,70953,0.008463627325087958,0.008750156936374348,0.01,0.012759350878660649
79,3.95,70532,0.008413408347682323,0.008764975041889077,0.01,0.012887584486876715
80,4.0,70111,0.008363189370276688,0.008780541719446538,0.01,0.01301710686428116
81,4.05,69696,0.00831368610276282,0.008797874169986005,0.01,0.013147930963219655
