phase,strategy,name,arm_horizon,gripper_horizon,episodes,successes,macro_success_rate,macro_success_ci95_low,macro_success_ci95_high,pooled_success_rate,macro_query_rate,difference_vs_selected,difference_vs_selected_ci95_low,difference_vs_selected_ci95_high,statistically_tied_with_selected_descriptive,task_0_success_rate,task_1_success_rate,task_2_success_rate,task_3_success_rate,task_4_success_rate,task_5_success_rate,task_6_success_rate,task_7_success_rate,task_8_success_rate,task_9_success_rate
late,group,phase_late_group_arm4_grip16,4,16,230,175,0.734,0.615,0.844,0.7608695652173914,0.25169058192673033,-0.004999999999999993,-0.020000000000000007,0.01000000000000002,True,0.94,0.6,0.8,0.8,0.8,0.85,0.55,0.65,0.35,1.0
late,group,phase_late_group_arm8_grip1,8,1,230,170,0.712,0.592,0.8240000000000001,0.7391304347826086,0.3546767564421713,-0.02699999999999999,-0.04899999999999999,-0.008999999999999975,False,0.92,0.6,0.8,0.8,0.8,0.75,0.5,0.6,0.35,1.0
late,group,phase_late_group_arm8_grip2,8,2,230,170,0.712,0.595,0.8240000000000001,0.7391304347826086,0.28598790865828155,-0.02699999999999999,-0.048999999999999974,-0.008999999999999985,False,0.92,0.6,0.8,0.8,0.8,0.75,0.5,0.6,0.35,1.0
late,group,phase_late_group_arm8_grip4,8,4,230,170,0.712,0.592,0.8240249999999979,0.7391304347826086,0.251622630089421,-0.02699999999999999,-0.04899999999999997,-0.008999999999999975,False,0.92,0.6,0.8,0.8,0.8,0.75,0.5,0.6,0.35,1.0
late,group,phase_late_group_arm8_grip8,8,8,230,174,0.7289999999999999,0.609,0.843,0.7565217391304347,0.2516605297890605,-0.009999999999999998,-0.024999999999999988,0.0,True,0.94,0.6,0.8,0.8,0.8,0.85,0.55,0.6,0.35,1.0
late,group,phase_late_group_arm8_grip16,8,16,230,174,0.7289999999999999,0.605,0.843,0.7565217391304347,0.2439256450990661,-0.009999999999999998,-0.024999999999999988,0.0,True,0.94,0.6,0.8,0.8,0.8,0.85,0.55,0.6,0.35,1.0
late,group,phase_late_group_arm16_grip1,16,1,230,172,0.722,0.5999999999999999,0.8330249999999978,0.7478260869565218,0.35366171687634046,-0.016999999999999994,-0.03899999999999999,0.0,True,0.92,0.6,0.8,0.85,0.8,0.75,0.55,0.6,0.35,1.0
late,group,phase_late_group_arm16_grip2,16,2,230,174,0.732,0.615,0.841,0.7565217391304347,0.28552733091843935,-0.006999999999999984,-0.01699999999999997,0.0,True,0.92,0.65,0.8,0.85,0.8,0.8,0.55,0.6,0.35,1.0
late,group,phase_late_group_arm16_grip4,16,4,230,174,0.732,0.615,0.841,0.7565217391304347,0.25163690518099957,-0.006999999999999984,-0.01699999999999997,0.0,True,0.92,0.65,0.8,0.85,0.8,0.8,0.55,0.6,0.35,1.0
late,group,phase_late_group_arm16_grip8,16,8,230,176,0.7389999999999999,0.619,0.85,0.7652173913043478,0.24246235594491644,0.0,0.0,0.0,True,0.94,0.65,0.8,0.85,0.8,0.85,0.55,0.6,0.35,1.0
late,group,phase_late_group_arm16_grip16,16,16,230,175,0.734,0.61,0.8480000000000001,0.7608695652173914,0.23483974639927668,-0.004999999999999993,-0.020000000000000007,0.01000000000000002,True,0.94,0.6,0.8,0.9,0.8,0.8,0.55,0.6,0.35,1.0
