task_id,episodes,targets,l_sem_FF,translation_FF,rotation_normalized_FF,rotation_geodesic_radians_FF,gripper_sign_FF,l_sem_OO,translation_OO,rotation_normalized_OO,rotation_geodesic_radians_OO,gripper_sign_OO,l_sem_FO,translation_FO,rotation_normalized_FO,rotation_geodesic_radians_FO,gripper_sign_FO,l_sem_OF,translation_OF,rotation_normalized_OF,rotation_geodesic_radians_OF,gripper_sign_OF,c_offline,contrast_sign
0,8,994,0.8431387097783057,0.722924550880808,1.141109862078459,0.06381774733483674,0.3098677295703387,0.7598268989011095,0.5693670596570651,1.1093114888803495,0.06312539318317759,0.2827526466955231,0.8392651265104749,0.722924550880808,1.141109862078459,0.06381774733483674,0.2827526466955231,0.7637004821689403,0.5693670596570651,1.1093114888803495,0.06312539318317759,0.3098677295703387,-4.163336342344337e-17,zero
1,8,1063,0.4700532002698933,0.39265841050228767,0.6059420584359935,0.04699346766871676,0.29457099507440954,0.4683306999825165,0.420521848462998,0.5601934142185352,0.0450866037872395,0.3361691118330155,0.47599578837826556,0.39265841050228767,0.6059420584359935,0.04699346766871676,0.3361691118330155,0.4623881118741442,0.420521848462998,0.5601934142185352,0.0450866037872395,0.29457099507440954,6.938893903907228e-18,zero
2,8,1019,0.7721637879948924,0.5885921484765131,1.1124846790817235,0.06167365803633476,0.30191603328953653,0.7397840569132108,0.5396258247202133,1.0905275768869491,0.06189851018752623,0.28802819357098774,0.7701798108922424,0.5885921484765131,1.1124846790817235,0.06167365803633476,0.28802819357098774,0.7417680340158606,0.5396258247202133,1.0905275768869491,0.06189851018752623,0.30191603328953653,-8.326672684688674e-17,zero
3,8,985,0.6881573630357061,0.4964103943551397,0.9923473509439845,0.05969100033289708,0.35082830535257065,0.6813443683581326,0.4282849227086293,1.0808785866557549,0.06170248990947301,0.2419200504137758,0.6725990409015926,0.4964103943551397,0.9923473509439845,0.05969100033289708,0.2419200504137758,0.6969026904922461,0.4282849227086293,1.0808785866557549,0.06170248990947301,0.35082830535257065,1.3877787807814457e-17,zero
4,8,1121,0.7117914542578281,0.6896257602919165,0.8619387806943983,0.0539878983196343,0.32784655684585173,0.6502985634178126,0.5628645889596608,0.8345207929975731,0.052148889064374065,0.35993379805298586,0.7163753458588472,0.6896257602919165,0.8619387806943983,0.0539878983196343,0.35993379805298586,0.6457146718167933,0.5628645889596608,0.8345207929975731,0.052148889064374065,0.32784655684585173,0.0,zero
5,8,952,0.8771408585644509,0.5761693301614147,1.3791300891845044,0.07098398272252635,0.27408775191339896,0.7964123942494251,0.5582593813448091,1.2021561862508339,0.06730331845679471,0.29364005695904705,0.8799340449995435,0.5761693301614147,1.3791300891845044,0.07098398272252635,0.29364005695904705,0.7936192078143325,0.5582593813448091,1.2021561862508339,0.06730331845679471,0.27408775191339896,0.0,zero
6,8,1043,0.7236305182852791,0.5875818453182633,0.9949018235556606,0.05891179993723418,0.31796262137518205,0.7377637295593733,0.5912494329348853,1.0585798647262097,0.05984123401130856,0.21485821393232768,0.7089013172220142,0.5875818453182633,0.9949018235556606,0.05891179993723418,0.21485821393232768,0.7524929306226382,0.5912494329348853,1.0585798647262097,0.05984123401130856,0.31796262137518205,-2.7755575615628914e-17,zero
7,8,1117,0.7154027620874461,0.5458645737456258,1.0448573008700817,0.060998173350617683,0.2356537107649997,0.6634813638936095,0.4448409745693706,1.033491093224396,0.05973057025157005,0.20937334387396653,0.7116484239601556,0.5458645737456258,1.0448573008700817,0.060998173350617683,0.20937334387396653,0.6672357020208999,0.4448409745693706,1.033491093224396,0.05973057025157005,0.2356537107649997,-1.3877787807814457e-17,zero
8,8,995,1.4073263286204813,0.8026948045882136,2.3518377628939144,0.09011343530550325,0.3876865978969863,1.2827758716135973,0.5672913944472253,2.3194585073819898,0.08587941324326358,0.319181395807535,1.3975398711791311,0.8026948045882136,2.3518377628939144,0.09011343530550325,0.319181395807535,1.2925623290549473,0.5672913944472253,2.3194585073819898,0.08587941324326358,0.3876865978969863,-4.163336342344337e-17,zero
9,10,1365,0.6568518898592419,0.563395184614025,0.8752643404414844,0.05275025587823708,0.2819846538481662,0.5389314369066487,0.4088233984580424,0.7786384293926324,0.04893942713063716,0.21013457479451633,0.6465875928515776,0.563395184614025,0.8752643404414844,0.05275025587823708,0.21013457479451633,0.5491957339143129,0.4088233984580424,0.7786384293926324,0.04893942713063716,0.2819846538481662,2.7755575615628914e-17,zero
