split,episode_id,task_id,targets,l_sem_FF,translation_FF,rotation_normalized_FF,rotation_geodesic_radians_FF,gripper_sign_FF,l_sem_OO,translation_OO,rotation_normalized_OO,rotation_geodesic_radians_OO,gripper_sign_OO,l_sem_FO,translation_FO,rotation_normalized_FO,rotation_geodesic_radians_FO,gripper_sign_FO,l_sem_OF,translation_OF,rotation_normalized_OF,rotation_geodesic_radians_OF,gripper_sign_OF,c_offline
validation,60,3,108,0.604289204385747,0.4350243520791636,0.8546134211172088,0.053341128160859834,0.3611111111111111,0.6342985710838756,0.34790969253800846,1.0734783313490592,0.057392550816175704,0.17592592592592593,0.5778341779307206,0.4350243520791636,0.8546134211172088,0.053341128160859834,0.17592592592592593,0.660753597538902,0.34790969253800846,1.0734783313490592,0.057392550816175704,0.3611111111111111,0.0
validation,63,0,115,0.8374302947037626,0.7224704404486314,1.15037416023696,0.06710006973487168,0.24347826086956523,0.6947850747985054,0.4282598800583936,1.1175429756308728,0.06557674619348423,0.22608695652173913,0.8349458226540731,0.7224704404486314,1.15037416023696,0.06710006973487168,0.22608695652173913,0.6972695468481949,0.4282598800583936,1.1175429756308728,0.06557674619348423,0.24347826086956523,0.0
validation,68,9,133,0.5998438907926484,0.5212875909397455,0.7730849963483639,0.05295554037096341,0.3157894736842105,0.5045587309193122,0.35244435313254785,0.7622027107418373,0.050604399270841906,0.18796992481203006,0.5815839552394798,0.5212875909397455,0.7730849963483639,0.05295554037096341,0.18796992481203006,0.5228186664724809,0.35244435313254785,0.7622027107418373,0.050604399270841906,0.3157894736842105,0.0
validation,70,4,133,0.615076026706799,0.6852753952924342,0.647145108126187,0.044177330758992564,0.3082706766917293,0.5205208841438854,0.5172088288098916,0.5519764923378712,0.04342420978632711,0.43609022556390975,0.6333359622599676,0.6852753952924342,0.647145108126187,0.044177330758992564,0.43609022556390975,0.5022609485907168,0.5172088288098916,0.5519764923378712,0.04342420978632711,0.3082706766917293,0.0
validation,74,7,133,0.575859731440346,0.42483380468447757,0.851169729077332,0.054530764176890935,0.20300751879699247,0.5681293209634906,0.44340759444168854,0.8371147058515689,0.051403639212861535,0.13533834586466165,0.5661927067357272,0.42483380468447757,0.851169729077332,0.054530764176890935,0.13533834586466165,0.5777963456681092,0.44340759444168854,0.8371147058515689,0.051403639212861535,0.20300751879699247,-1.1102230246251565e-16
validation,83,1,139,0.5458057475814958,0.45127509438282887,0.7167560624440186,0.05378841018917467,0.31654676258992803,0.514492461591227,0.5140522133896266,0.5905069355990156,0.04630431071663361,0.28776978417266186,0.5416947506647435,0.45127509438282887,0.7167560624440186,0.05378841018917467,0.28776978417266186,0.5186034585079792,0.5140522133896266,0.5905069355990156,0.04630431071663361,0.31654676258992803,0.0
validation,92,8,113,1.2204662240982518,0.86465438293261,1.882805154712573,0.07915179907627623,0.3008849557522124,1.1351188773397656,0.5278472090456499,2.0440673395553963,0.07545407734050587,0.23008849557522124,1.2103524440729674,0.86465438293261,1.882805154712573,0.07915179907627623,0.23008849557522124,1.1452326573650502,0.5278472090456499,2.0440673395553963,0.07545407734050587,0.3008849557522124,0.0
validation,95,6,104,0.7606686811003698,0.4815944759089386,1.232401677427822,0.06524743921137025,0.18269230769230768,0.9416294089373566,0.6286857700026126,1.501141825210194,0.0720225880877706,0.20192307692307693,0.7634159338476226,0.4815944759089386,1.232401677427822,0.06524743921137025,0.20192307692307693,0.938882156190104,0.6286857700026126,1.501141825210194,0.0720225880877706,0.18269230769230768,0.0
validation,104,5,117,1.1802638590891668,0.7316967753514915,1.948178155115824,0.08764225693082697,0.2222222222222222,0.9615540732490943,0.7108182732622927,1.4587338235781868,0.0758958675932487,0.2222222222222222,1.1802638590891668,0.7316967753514915,1.948178155115824,0.08764225693082697,0.2222222222222222,0.9615540732490941,0.7108182732622927,1.4587338235781868,0.0758958675932487,0.2222222222222222,0.0
validation,106,2,107,0.7975064548665515,0.7666098423863783,0.9945500787819929,0.06300992173018098,0.29906542056074764,0.7465868509573277,0.5912933814602587,1.0199014826115123,0.06533126602626543,0.3925233644859813,0.8108575897130134,0.7666098423863783,0.9945500787819929,0.06300992173018098,0.3925233644859813,0.7332357161108658,0.5912933814602587,1.0199014826115123,0.06533126602626543,0.29906542056074764,0.0
validation,153,7,147,0.830587401162388,0.7926882011347242,1.0433082519176506,0.06062801486067012,0.30612244897959184,0.7440561397141843,0.5939481499143392,1.0310717316409794,0.06080496188985007,0.3333333333333333,0.8344746703557796,0.7926882011347242,1.0433082519176506,0.06062801486067012,0.3333333333333333,0.7401688705207925,0.5939481499143392,1.0310717316409794,0.06080496188985007,0.30612244897959184,-2.220446049250313e-16
validation,159,9,131,0.9292402954270694,0.49938033023121464,1.5746994430680796,0.06958325947421741,0.2824427480916031,0.7929794562148125,0.39426295253078586,1.4178545063724788,0.0652401045928417,0.11450381679389313,0.9052490195273966,0.49938033023121464,1.5746994430680796,0.06958325947421741,0.11450381679389313,0.8169707321144856,0.39426295253078586,1.4178545063724788,0.0652401045928417,0.2824427480916031,0.0
validation,161,3,152,0.5239599617081641,0.5348490215037488,0.5539522926574058,0.046620070017599345,0.40131578947368424,0.47718073658528115,0.4483693910873516,0.5685610995414624,0.046174469231018325,0.2894736842105263,0.5079825180991414,0.5348490215037488,0.5539522926574058,0.046620070017599345,0.2894736842105263,0.4931581801943037,0.4483693910873516,0.5685610995414624,0.046174469231018325,0.40131578947368424,0.0
validation,179,6,157,0.8003027534831982,0.48305995387809425,1.259047744801385,0.0662129766468393,0.37579617834394907,0.8951692826378814,0.6582043957192354,1.3243668179092813,0.06616637308623642,0.3184713375796178,0.7921134905168653,0.48305995387809425,1.259047744801385,0.0662129766468393,0.3184713375796178,0.9033585456042144,0.6582043957192354,1.3243668179092813,0.06616637308623642,0.37579617834394907,0.0
validation,184,5,113,1.105828206324092,0.5962164477012212,1.8778546767895068,0.08818049444599317,0.3185840707964602,1.0563279107864416,0.6624738891173135,1.6429992006528196,0.08301434390181167,0.4778761061946903,1.128584211380982,0.5962164477012212,1.8778546767895068,0.08818049444599317,0.4778761061946903,1.0335719057295514,0.6624738891173135,1.6429992006528196,0.08301434390181167,0.3185840707964602,-2.220446049250313e-16
