hypothesis,scope,first_method,second_method,blocks,first_successes,second_successes,first_success_rate,second_success_rate,paired_difference,paired_ci_low,paired_ci_high,task_cluster_ci_low,task_cluster_ci_high,first_only_successes,second_only_successes,mcnemar_exact_p,stable_positive,stable_negative
H1_GRIPPER,primary_tasks_1_to_9,C_ASYMMETRIC_FO20,A_NEWEST,126,80,53,0.6349206349206349,0.42063492063492064,0.21428571428571427,0.14285714285714285,0.29365079365079366,0.12698412698412698,0.30952380952380953,28,1,1.1175870895385742e-07,True,False
H1_GRIPPER,all_10_sensitivity,C_ASYMMETRIC_FO20,A_NEWEST,140,91,63,0.65,0.45,0.2,0.12857142857142856,0.2714285714285714,0.12142857142857141,0.29285714285714287,30,2,2.4633482098579407e-07,True,False
H1_ARM,primary_tasks_1_to_9,C_ASYMMETRIC_FO20,B_FULL_OLD20,126,80,55,0.6349206349206349,0.4365079365079365,0.1984126984126984,0.09523809523809523,0.30158730158730157,0.06349206349206349,0.31746031746031744,36,11,0.00034600114031491097,True,False
H1_ARM,all_10_sensitivity,C_ASYMMETRIC_FO20,B_FULL_OLD20,140,91,59,0.65,0.42142857142857143,0.22857142857142856,0.12857142857142856,0.32857142857142857,0.09999999999999999,0.35,45,13,3.011590962911926e-05,True,False
H2_AGE,primary_tasks_1_to_9,C_ASYMMETRIC_FO20,D_AGE_EXP_B003,126,80,62,0.6349206349206349,0.49206349206349204,0.14285714285714285,0.047619047619047616,0.23809523809523808,0.015873015873015872,0.27777777777777773,29,11,0.006426576095691416,True,False
H2_AGE,all_10_sensitivity,C_ASYMMETRIC_FO20,D_AGE_EXP_B003,140,91,72,0.65,0.5142857142857142,0.1357142857142857,0.04285714285714286,0.22857142857142856,0.02142857142857143,0.2571428571428571,33,14,0.007942726509483574,True,False
H2_COG,primary_tasks_1_to_9,C_ASYMMETRIC_FO20,E_COGACT_A03,126,80,59,0.6349206349206349,0.46825396825396826,0.16666666666666666,0.07142857142857142,0.2619047619047619,0.03968253968253969,0.2936507936507937,31,10,0.0014504910141113214,True,False
H2_COG,all_10_sensitivity,C_ASYMMETRIC_FO20,E_COGACT_A03,140,91,69,0.65,0.4928571428571429,0.15714285714285714,0.06428571428571428,0.25,0.05,0.2785714285714286,35,13,0.0020881073339964478,True,False
