task_id,name,strategy,arm_horizon,gripper_horizon,episodes,successes,success_rate,query_rate
4,group_arm16_grip16,groupwise_fixed,16,16,20,16,0.8,0.06508698260347931
5,global_h4,global_fixed,4,4,20,10,0.5,0.2510912014702504
5,group_arm2_grip2,groupwise_fixed,2,2,20,6,0.3,0.5001971608832808
5,group_arm2_grip8,groupwise_fixed,2,8,20,11,0.55,0.5006057669008965
5,group_arm2_grip16,groupwise_fixed,2,16,20,15,0.75,0.5007792207792208
5,group_arm4_grip16,groupwise_fixed,4,16,20,17,0.85,0.2522075055187638
5,group_arm8_grip2,groupwise_fixed,8,2,20,7,0.35,0.500419991600168
5,group_arm8_grip8,groupwise_fixed,8,8,20,15,0.75,0.12755858795609612
5,group_arm8_grip16,groupwise_fixed,8,16,20,17,0.85,0.12764670296430733
5,group_arm16_grip2,groupwise_fixed,16,2,20,9,0.45,0.500571951498513
5,group_arm16_grip4,groupwise_fixed,16,4,20,15,0.75,0.2522010792388526
5,group_arm16_grip8,groupwise_fixed,16,8,20,18,0.9,0.12871287128712872
5,group_arm16_grip16,groupwise_fixed,16,16,20,17,0.85,0.06484295845997974
6,global_h4,global_fixed,4,4,20,10,0.5,0.25088731144631765
6,group_arm2_grip2,groupwise_fixed,2,2,20,8,0.4,0.5002115954295387
6,group_arm2_grip8,groupwise_fixed,2,8,20,9,0.45,0.5006631299734748
6,group_arm2_grip16,groupwise_fixed,2,16,20,9,0.45,0.5007789895392833
6,group_arm4_grip16,groupwise_fixed,4,16,20,11,0.55,0.2507347953877459
6,group_arm8_grip2,groupwise_fixed,8,2,20,7,0.35,0.5004323389537397
6,group_arm8_grip8,groupwise_fixed,8,8,20,9,0.45,0.12540266912103085
6,group_arm8_grip16,groupwise_fixed,8,16,20,13,0.65,0.1258948407800543
6,group_arm16_grip2,groupwise_fixed,16,2,20,10,0.5,0.5003525264394829
6,group_arm16_grip4,groupwise_fixed,16,4,20,11,0.55,0.250901225666907
6,group_arm16_grip8,groupwise_fixed,16,8,20,11,0.55,0.12563791008505468
6,group_arm16_grip16,groupwise_fixed,16,16,20,13,0.65,0.06433915211970075
7,global_h4,global_fixed,4,4,20,10,0.5,0.25100502512562817
7,group_arm2_grip2,groupwise_fixed,2,2,20,10,0.5,0.5004777830864787
7,group_arm2_grip8,groupwise_fixed,2,8,20,12,0.6,0.5007949125596184
7,group_arm2_grip16,groupwise_fixed,2,16,20,10,0.5,0.5007392804337112
7,group_arm4_grip16,groupwise_fixed,4,16,20,13,0.65,0.25129745971046163
7,group_arm8_grip2,groupwise_fixed,8,2,20,11,0.55,0.5007767995857069
7,group_arm8_grip8,groupwise_fixed,8,8,20,11,0.55,0.12605687932359724
7,group_arm8_grip16,groupwise_fixed,8,16,20,11,0.55,0.1259964001028542
7,group_arm16_grip2,groupwise_fixed,16,2,20,9,0.45,0.5009425070688031
7,group_arm16_grip4,groupwise_fixed,16,4,20,9,0.45,0.25089777352166626
7,group_arm16_grip8,groupwise_fixed,16,8,20,11,0.55,0.1266632548618219
7,group_arm16_grip16,groupwise_fixed,16,16,20,11,0.55,0.06479372310807391
8,global_h4,global_fixed,4,4,20,8,0.4,0.2506003056101288
8,group_arm2_grip2,groupwise_fixed,2,2,20,8,0.4,0.5002098195551825
8,group_arm2_grip8,groupwise_fixed,2,8,20,8,0.4,0.5005549389567148
8,group_arm2_grip16,groupwise_fixed,2,16,20,7,0.35,0.5004310344827586
8,group_arm4_grip16,groupwise_fixed,4,16,20,7,0.35,0.250270153447158
8,group_arm8_grip2,groupwise_fixed,8,2,20,8,0.4,0.5005343022013251
8,group_arm8_grip8,groupwise_fixed,8,8,20,7,0.35,0.12548015364916773
8,group_arm8_grip16,groupwise_fixed,8,16,20,6,0.3,0.12528663748175944
8,group_arm16_grip2,groupwise_fixed,16,2,20,7,0.35,0.5006117455138662
8,group_arm16_grip4,groupwise_fixed,16,4,20,7,0.35,0.25067385444743934
8,group_arm16_grip8,groupwise_fixed,16,8,20,5,0.25,0.12571080422420797
8,group_arm16_grip16,groupwise_fixed,16,16,20,7,0.35,0.06487174051303794
9,global_h4,global_fixed,4,4,20,18,0.9,0.25208807896735
9,group_arm2_grip2,groupwise_fixed,2,2,20,18,0.9,0.5017000377786173
9,group_arm2_grip8,groupwise_fixed,2,8,20,19,0.95,0.501761252446184
9,group_arm2_grip16,groupwise_fixed,2,16,20,18,0.9,0.5018882175226587
9,group_arm4_grip16,groupwise_fixed,4,16,20,20,1.0,0.25379253792537926
9,group_arm8_grip2,groupwise_fixed,8,2,20,17,0.85,0.5018388498829823
9,group_arm8_grip8,groupwise_fixed,8,8,20,18,0.9,0.1282712863988205
9,group_arm8_grip16,groupwise_fixed,8,16,20,18,0.9,0.12794117647058822
9,group_arm16_grip2,groupwise_fixed,16,2,20,19,0.95,0.5014814814814815
9,group_arm16_grip4,groupwise_fixed,16,4,20,19,0.95,0.2524199553239017
9,group_arm16_grip8,groupwise_fixed,16,8,20,20,1.0,0.12834224598930483
9,group_arm16_grip16,groupwise_fixed,16,16,20,17,0.85,0.06532485875706215
