run_dir,task_id,strategy,arm_horizon,gripper_horizon,episodes,successes,success_rate,environment_steps,policy_queries,query_rate,actions,out_of_bounds_by_dimension,metadata_sha256,episodes_sha256,steps_sha256,summary_sha256,checkpoint,lerobot_commit,temporal_ensemble_coeff,issues
experiments/runs/libero_object_cross_task/sanity/task_8_global_h8_partial_infrastructure,8,global_fixed,8,8,5,1,0.2,1285,161,0.12529182879377432,1285,"[0, 9, 33, 0, 0, 0, 836]",74a792be7988e08f35f7be10139347f2c7cb5dce1238745202200baa1fefc39a,5caba10e726bae52fdf68abe91c2a0a8331e1ce5d6a093724b578e2e7bea8ce3,83167fdcd975cfa115163ba6a49f7ad48bf32dc1867d387397832aa88f944473,,/home/thor/projects/checkpoints/zeromidnight_act_libero_object,f66e5128ecb2456e8c54a63d15404fa59c16aebc,,['observed_chunk_shape_not_100x7']
experiments/runs/libero_object_cross_task/sanity/task_9_global_h8,9,global_fixed,8,8,5,4,0.8,730,93,0.1273972602739726,730,"[0, 0, 1, 0, 0, 0, 678]",df7ed184e17c57ce08ad7fdde06bf350659625332ee3f279f6216d56414aa094,f324060afcaaa396967b61c45dabd5a1ec5609613bd95e34f9aa50c66370d99e,cbc255aaf8e276360305e6931dcd7ce3ea4fa00d5807a78cf70187a8389c254c,cf0cc70e74dfe07e7dec4e089b8d5c3ef151ccb39680f71b0db62168a323b79a,/home/thor/projects/checkpoints/zeromidnight_act_libero_object,f66e5128ecb2456e8c54a63d15404fa59c16aebc,,[]
experiments/runs/libero_object_cross_task/task_1/global_h4,1,global_fixed,4,4,20,10,0.5,4265,1071,0.2511137162954279,4265,"[0, 0, 14, 0, 0, 0, 3324]",eb33242668a3c8e7387f552f645773f3c5b79b6346484850b6278dfeae88a62e,bfe0dfcd7f905b0af38a3430d8e231d9a03cb5625ab1aa8f49e730d69a1316aa,52e94e75b282e8fc0d2b767679e230a70fd52259fb4afae4c13dea2f4ab92ebd,5c2eaf5636328c922c7e1a90879fc05a105c357aaf407a3f5859763889195d81,/home/thor/projects/checkpoints/zeromidnight_act_libero_object,f66e5128ecb2456e8c54a63d15404fa59c16aebc,,[]
experiments/runs/libero_object_cross_task/task_1/group_arm16_grip16,1,groupwise_fixed,16,16,20,10,0.5,4462,289,0.06476916181084716,4462,"[0, 0, 7, 0, 0, 0, 2885]",5afdbfcc94d727047a168a5afd8fe5ea3c906ad33aa62153b38238e3b903cded,d8e5fdc05fc00e9c61414c9ba238cf60c670b93d083ee729fab0f9276bb74367,23e1aeb6f9755c8226ce1602b3920067704595157f75c6a10f154253e8e68bc8,6283ff79af501970555cfc7d128a8ccb40e30548f5e1c196c245bde44a2386ba,/home/thor/projects/checkpoints/zeromidnight_act_libero_object,f66e5128ecb2456e8c54a63d15404fa59c16aebc,,[]
experiments/runs/libero_object_cross_task/task_1/group_arm16_grip2,1,groupwise_fixed,16,2,20,4,0.2,5149,2576,0.5002913187026607,5149,"[0, 0, 7, 0, 0, 0, 4348]",714e63bcb99cf44a5d81246fd2ab6f09114beeadaf3dac568b2fbc6a37f11b3a,4749139caeea37d8ea0f4284bb8eba1e645f6601179714868ef486bd9978be8f,abf263c637b340b9f2ab356fb8ecc79a4148835b158c9d415319cd921506f405,919d0b48837aac5af7d55b6d76602eaee5d90fa91d55a605cfdf1a00a3760479,/home/thor/projects/checkpoints/zeromidnight_act_libero_object,f66e5128ecb2456e8c54a63d15404fa59c16aebc,,[]
experiments/runs/libero_object_cross_task/task_1/group_arm16_grip4,1,groupwise_fixed,16,4,20,6,0.3,4692,1175,0.25042625745950553,4692,"[0, 0, 0, 0, 0, 0, 3892]",6659b741920e95b60ef57539b22e78945ae359f1f2e77c58f04b39f10bbb2f4b,4efe6d98c7a4701885e4f3b427d1672d3b26dd2d3797c16e193affbe2a174ec1,1f7b93036de4d189a70225d33857b657fd23e0186bc363b0247cba559025f826,bf2cdf6c1d3f1764ec1b7be4ee7a1d8cbd9b0f5ab42a0345077c4ba9c533e129,/home/thor/projects/checkpoints/zeromidnight_act_libero_object,f66e5128ecb2456e8c54a63d15404fa59c16aebc,,[]
experiments/runs/libero_object_cross_task/task_1/group_arm16_grip8,1,groupwise_fixed,16,8,20,7,0.35,4723,592,0.12534406097819184,4723,"[0, 0, 1, 0, 0, 0, 3291]",03399f695a4d29371dbd52b926c9d9859260510f640c72e9bbd25d67f01660d9,a426543440882201d66f5dbdd658292b159c363f7f313e876466933573e79db7,80e8bd1dc2d1d002e0bdfd4a6290ad8b4d7b53f690abcd17b86988db1024e634,77f512e6cf7c7b15a7ba16ef9b9867bdb1acd5d53379d3e17b19230856a67dcb,/home/thor/projects/checkpoints/zeromidnight_act_libero_object,f66e5128ecb2456e8c54a63d15404fa59c16aebc,,[]
experiments/runs/libero_object_cross_task/task_1/group_arm2_grip16,1,groupwise_fixed,2,16,20,14,0.7,3904,1954,0.5005122950819673,3904,"[0, 0, 23, 0, 0, 0, 2819]",1510b55245f4a76e1a8e520b92034b12b7eccdce09a80714acc98a8adf67de67,496b38d30e9df057017b9cba9b42984b10688d83fd8535dd82cc725c3f7b2dee,2eb2411234630cc39c1f88fedd301e7cadc894f36b9d3d8b6851f526ba43b795,fe6112582ac46dc85fdadec23ce88149c4e3bd7d44a962f1e6bfaff15762c576,/home/thor/projects/checkpoints/zeromidnight_act_libero_object,f66e5128ecb2456e8c54a63d15404fa59c16aebc,,[]
experiments/runs/libero_object_cross_task/task_1/group_arm2_grip2,1,groupwise_fixed,2,2,20,6,0.3,4788,2396,0.5004177109440268,4788,"[0, 0, 6, 0, 0, 0, 3797]",eb4b6b3876f32c69c1ac469d5e005eef0b04a86800a1ab412c38532f616e6eaa,4157256bb9dddbd4b36869940926f76c85ab571b32661ba933e83e1633d52989,d7b26906d7bb5b91eb72071141907b99283c97a17a56559cd811b310158cee0f,9c56d45bb591e14bb4be8d08aa078ab8ddef86ddeca9893a7c86de7dc5652bde,/home/thor/projects/checkpoints/zeromidnight_act_libero_object,f66e5128ecb2456e8c54a63d15404fa59c16aebc,,[]
experiments/runs/libero_object_cross_task/task_1/group_arm2_grip8,1,groupwise_fixed,2,8,20,9,0.45,4339,2171,0.5003457017746025,4339,"[0, 0, 13, 0, 0, 0, 3144]",b844f080e1c82134b3c8ee9618e3f4a01534a757fe8f8e290035c9369d13cb7e,e4bdbc4fe116e5bae83713d9aea04395d6bb5c4cc1d3901aa5fa095f8daf4da2,90a30a766569b394ec92c7fcdf173bc5d638c54aa1cbc6b142b48aaf88b9455e,030c25a5e39106a53790021bfc14ceaec596fe1b35ff239e25bba4003d686047,/home/thor/projects/checkpoints/zeromidnight_act_libero_object,f66e5128ecb2456e8c54a63d15404fa59c16aebc,,[]
experiments/runs/libero_object_cross_task/task_1/group_arm4_grip16,1,groupwise_fixed,4,16,20,12,0.6,3956,993,0.25101112234580386,3956,"[0, 0, 20, 0, 0, 0, 2774]",558383ee06a5af60d6ab26d92f25a4b0cf6370dc4fe152882859d7230bbd8c45,77b2cf339ddf44bda5f906735412f49727111995ca1d90efaf10ab9127dab8b6,57df8862dd77837ac5d0f2a282d4a68e1a6f76b0373e78295a25490388fae8a7,51cf3a059b69279fb6bcedb877359b904636a3c0e97521a75194fc7221d6664b,/home/thor/projects/checkpoints/zeromidnight_act_libero_object,f66e5128ecb2456e8c54a63d15404fa59c16aebc,,[]
experiments/runs/libero_object_cross_task/task_1/group_arm4_grip4,1,groupwise_fixed,4,4,20,10,0.5,4265,1071,0.2511137162954279,4265,"[0, 0, 14, 0, 0, 0, 3324]",fe9a5a325751b6a54f9dd6f28c7bfa77670fe560787ff9689ff059a6670b90ee,4bf44478eebe902a52e1fb6def805437e169e3ea1a1297a80a396b7d635c130a,52e94e75b282e8fc0d2b767679e230a70fd52259fb4afae4c13dea2f4ab92ebd,5c2eaf5636328c922c7e1a90879fc05a105c357aaf407a3f5859763889195d81,/home/thor/projects/checkpoints/zeromidnight_act_libero_object,f66e5128ecb2456e8c54a63d15404fa59c16aebc,,[]
experiments/runs/libero_object_cross_task/task_1/group_arm8_grip16,1,groupwise_fixed,8,16,20,13,0.65,3978,501,0.12594268476621417,3978,"[0, 0, 9, 0, 0, 0, 2852]",283cb586a273bfd8fdbf40645596f9f482ccf01cd216a7811655f4d8097f6977,03ecaa0af18a03b73505669d0cc81e4359b6299f9ad68a3ebbda17c53a231719,74df0d3715e0e6c9aac90000d28d9d47743f714a1aa03c9855c58d5b85cf6a23,b52f23510980434f070830e4864e2c9e8a32f8710902f1c2fc9f299b6e580082,/home/thor/projects/checkpoints/zeromidnight_act_libero_object,f66e5128ecb2456e8c54a63d15404fa59c16aebc,,[]
experiments/runs/libero_object_cross_task/task_1/group_arm8_grip2,1,groupwise_fixed,8,2,20,6,0.3,4843,2424,0.5005162089613876,4843,"[0, 0, 8, 0, 0, 0, 4030]",953c44d89cb46f1408af4cc0201db2de2c5298721ee018727d5397b729b05b97,368d106dd6015bf4a19308a0e320eab370ff932775cbe2def7ea2b88dea6fe7f,e29e7f6ce01545a22f50c96242bf3928aca5ce8bc78064cf3dbb416ab5c56f75,0cd1cef22910979c90a36d8b747bfe216b7a89362372468ae24cb27a9fcf09fa,/home/thor/projects/checkpoints/zeromidnight_act_libero_object,f66e5128ecb2456e8c54a63d15404fa59c16aebc,,[]
experiments/runs/libero_object_cross_task/task_1/group_arm8_grip8,1,groupwise_fixed,8,8,20,9,0.45,4431,557,0.1257052584066802,4431,"[0, 0, 6, 0, 0, 0, 2800]",9ae347e1f8432d9dd7e4c886b0d02a65a78f1844934c630b7013967e05c6e45d,7cfe8a2bf828dceb01c27edbfc61825a1ee0449e30bdff036bf4c7b73f7e5f70,5631775d71e0b1f8c41c8226cc16c981f305419b56c3a623eedfaec4aed7af14,52e8ee09ea8fda15a538600034793b695b3e3968388e5fa0b18e56edca2b7f56,/home/thor/projects/checkpoints/zeromidnight_act_libero_object,f66e5128ecb2456e8c54a63d15404fa59c16aebc,,[]
experiments/runs/libero_object_cross_task/task_2/global_h4,2,global_fixed,4,4,20,15,0.75,3043,766,0.2517252711140322,3043,"[3, 0, 16, 0, 0, 0, 2359]",bceebd0c8df510ca04d26e2298ef4d2d4c618ab1a04c631d4a5b754cc50b41fd,c999a2819700aee3a51122f8a557a9a3fd5439b8a2fbd6f0f607951f086c39a9,7d96d68db6f513914329d2c4eb3be47b4fe1eb0ea0c2a4d9ad12af1299dfe4ab,e9a0cc1e27fb4870c34115c54ae03164fb3866ce9d9d42b156f5e89b7f88a5eb,/home/thor/projects/checkpoints/zeromidnight_act_libero_object,f66e5128ecb2456e8c54a63d15404fa59c16aebc,,[]
experiments/runs/libero_object_cross_task/task_2/group_arm16_grip16,2,groupwise_fixed,16,16,20,14,0.7,3263,212,0.06497088568801716,3263,"[2, 0, 38, 0, 0, 0, 2491]",6f742b5703ec9a25f154342410f0c5e3b5e8d0ac90ad39db66fbef804c523a84,e9361c2d708f5f612463b635a078ea6d26baba95780a34efe89ed627f0f24d02,3f898fe8f18abac9e62da5b69aa19d35bddf492a807f4588314f5bea8f1a2284,19ed1277de654c5d32bd38e260b49bc27f84d428342cbb12cd128e26952198c6,/home/thor/projects/checkpoints/zeromidnight_act_libero_object,f66e5128ecb2456e8c54a63d15404fa59c16aebc,,[]
experiments/runs/libero_object_cross_task/task_2/group_arm16_grip2,2,groupwise_fixed,16,2,20,13,0.65,3531,1770,0.5012744265080714,3531,"[2, 0, 23, 0, 0, 0, 3014]",cbae643ea61f93702e0223deadbf026ecd5d5c6d9da27b6355ab7c499fb61519,95da7d54a81959df3576828c375549e8f5e88f4e365edcf8e2a615c972ede690,96e378f67bbc54a4a3499d5dc521fb9d54fa0b844f6fc728528cd77b0f055dd7,d9913429233b07a062944407891d698f40b288a110ab2c0e173f4c184deacd4f,/home/thor/projects/checkpoints/zeromidnight_act_libero_object,f66e5128ecb2456e8c54a63d15404fa59c16aebc,,[]
experiments/runs/libero_object_cross_task/task_2/group_arm16_grip4,2,groupwise_fixed,16,4,20,13,0.65,3510,883,0.2515669515669516,3510,"[2, 0, 17, 0, 0, 0, 2694]",c7396fdefe1cca6c73c1ab8837e30eeb1314c9353af722dfd1d408de43544b0c,7540fd589f49066fded799fefc0ff0f93b1882c860bd555ffbd9cad8a4c47e53,35ae841f63811813b6c450e0500e2b146b628c745685abb15b6ee18f79b25699,30b86182de1d05352c0a7eccd169fb749049777eccd01946f581716c5a2a926e,/home/thor/projects/checkpoints/zeromidnight_act_libero_object,f66e5128ecb2456e8c54a63d15404fa59c16aebc,,[]
experiments/runs/libero_object_cross_task/task_2/group_arm16_grip8,2,groupwise_fixed,16,8,20,14,0.7,3366,427,0.12685680332739158,3366,"[2, 0, 30, 0, 0, 0, 2681]",7a1d7c5f746802de83d42e730a62efcad18f58450a27b1fcc13d512c7a516652,fd375087df16412b92bfc653aaf64e38df5a228a2c6630bff058e2dfae8bba4a,0b893605b81a11b655f25e05b0369093161794ef4d38aecb6db136899f916333,de4142bc51fbef676fa779d0b0ebc699181d27ecb53569604aa2ee8acac48444,/home/thor/projects/checkpoints/zeromidnight_act_libero_object,f66e5128ecb2456e8c54a63d15404fa59c16aebc,,[]
experiments/runs/libero_object_cross_task/task_2/group_arm2_grip16,2,groupwise_fixed,2,16,20,16,0.8,2957,1482,0.5011836320595198,2957,"[4, 0, 23, 0, 0, 0, 2422]",3d121f6d4f4c952d22337b8547ed827dbc98d8f2c5a05713e7b5e86dd92ca2d3,47ea4b43110aa6a89a17f948b204805e7f84b4a3ec4a6782cd971aa717e5d0e9,b1192bb6383cae72862aac0c562f70e8c3d3714fe102fd93f655a84fc6468284,4256227fb7c314a348991dd31f9d07619a8ac966898888a86a44ce1d66de8dec,/home/thor/projects/checkpoints/zeromidnight_act_libero_object,f66e5128ecb2456e8c54a63d15404fa59c16aebc,,[]
experiments/runs/libero_object_cross_task/task_2/group_arm2_grip2,2,groupwise_fixed,2,2,20,14,0.7,3266,1635,0.5006123698714023,3266,"[4, 0, 9, 0, 0, 0, 2469]",770dca8db9f93f780fd96de86001bed25cfd831daa66b110b726e8ef9a86c222,8163d839208536abf74045019aab09ee5ba1aad66cc98cfcda7bd96c4bb0fce8,97e652010c0579c3aabdcf905e9a6a5d5be8a17337229cb1fe50b8e9b481b2a5,a94f7a45b1a21b216324b653a5498f1d91705b967e75f01d0c5e852639358a4d,/home/thor/projects/checkpoints/zeromidnight_act_libero_object,f66e5128ecb2456e8c54a63d15404fa59c16aebc,,[]
experiments/runs/libero_object_cross_task/task_2/group_arm2_grip8,2,groupwise_fixed,2,8,20,15,0.75,3067,1537,0.5011411803064885,3067,"[4, 0, 15, 0, 0, 0, 2403]",b607c26cfadeea5b23b3ed549adc3fce084d217d312e498574f13d4759b98c29,724072efcff5b3059cc3c172bee6454675dee07550fcab130b071d068ff29c47,216dba6f4e0670b247b4cda2598ce12deeddf29c81961bb0d3616f2202e17413,79ac59872396e74d497967c22a6582ffd4e15e3a205a48de3f3ce0322e738110,/home/thor/projects/checkpoints/zeromidnight_act_libero_object,f66e5128ecb2456e8c54a63d15404fa59c16aebc,,[]
