task,episode,timestep,state_id,phase,object_goal_distance,eef_object_distance,action_magnitude,action_velocity,action_acceleration,gripper_transition,p_fail_0,p_fail_1,p_fail_2,fragility_score,first_nonzero_scale_m,robustness_margin_50pct_m
PickCube-v1,2,15,efb4da018a24370cdad52ae700302b9693fdef1d6d107a62ee0d1ff75fb8a259,0.40540540540540543,0.03126644715666771,0.0017285175854340196,3.3659861087799072,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.08333333333333333,0.006,nan
PickCube-v1,2,20,d232fa093e162c82bc532d17470ef2fbff32e1e2fcc8145b52e4fa1e742b433c,0.5405405405405406,0.03064175508916378,0.0006109150126576424,3.3659861087799072,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.16666666666666666,0.006,nan
PickCube-v1,2,25,4637503931be178b0d623f3538efe8ba13f375c9d152c7e66a60ac62e0507a95,0.6756756756756757,0.02101150155067444,0.0005830065929330885,3.37186336517334,0.0,0.18000003695487976,0.0,0.0,0.0,0.3333333333333333,0.16666666666666666,0.006,nan
PickCube-v1,2,30,76369c74f14f770026980e1af3c9d1f81f9b0d6cfcf31d257ceb07f5a9b950a7,0.8108108108108109,0.152732715010643,0.0006026191986165941,3.37186336517334,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.16666666666666666,0.006,nan
PickCube-v1,2,35,d81126830f4e3b9d90950bbff570159cdceee884ace7480127961768d9260f5c,0.9459459459459459,0.037204544991254807,0.0006048762588761747,3.366379737854004,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.16666666666666666,0.006,nan
PickCube-v1,3,0,abfec3db42a3a632f5a5e03d2c547ea0b602f4f567378fe6ee00983e0818861d,0.0,0.26011693477630615,0.1818988025188446,3.343926191329956,3.343926191329956,3.343926191329956,1.0,0.0,0.3333333333333333,0.3333333333333333,0.26666666666666666,0.003,nan
PickCube-v1,3,5,4fa1792ec472e1f057e463d20897744dbda49a271ec08eec32a517be375f59cc,0.1388888888888889,0.2601165771484375,0.07172738760709763,3.343926191329956,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.26666666666666666,0.003,nan
PickCube-v1,3,10,8d74cbd703c473aa0efafb13b9ae13b577c5c7c2bda7c11246f283051e264e55,0.2777777777777778,0.260116308927536,0.029896238818764687,3.3427746295928955,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.26666666666666666,0.003,nan
PickCube-v1,3,15,29c50188dd8c4f50f55633f291ac620810fdd5481403207f5e2c80d2ef3cff7e,0.4166666666666667,0.260116308927536,0.0013475213199853897,3.3427746295928955,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.26666666666666666,0.003,nan
PickCube-v1,3,20,7e1b1ea3f6e425ccaa492eeb90b6958589ada72398628252f1d0b5f22a6d78a7,0.5555555555555556,0.25968316197395325,0.00017784246301744133,3.3427746295928955,0.0,0.0,0.0,0.16666666666666666,0.3333333333333333,0.5,0.3833333333333333,0.0015,0.006
PickCube-v1,3,25,f6904d9ae3711d7363016365f3d048668f01e98a0640979d52c012a20311484d,0.6944444444444444,0.23462358117103577,0.00046348292380571365,3.3486924171447754,0.0,0.18000003695487976,0.0,0.3333333333333333,0.3333333333333333,0.5,0.41666666666666663,0.0015,0.006
PickCube-v1,3,30,b03afdd6e9f71dc3462dd260c268276a94826860b8b4eaa5e7f9952b23dbc2b0,0.8333333333333334,0.14155100286006927,0.0004737066337838769,3.3486924171447754,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.5,0.41666666666666663,0.0015,0.006
PickCube-v1,3,35,c4e5da85d8b02fdc49971ddf2546de2a85ff5f9fea5fec632718d69b6760caf2,0.9722222222222222,0.03264041617512703,0.00047504829126410186,3.3527939319610596,0.0,0.0,0.0,0.16666666666666666,0.3333333333333333,0.5,0.3833333333333333,0.0015,0.006
