model,seed,group,offset,sample_count,positive_count,negative_count,positive_rate,auroc,auprc,brier,ece,undefined_discrimination,undefined_reason,empirical_brier,brier_skill_score_vs_empirical
constant_prior,train_only,arm,1,337,337,0,1.0,,,0.2727052987082557,0.5222119289218273,True,one_label_class,0.0,
constant_prior,train_only,arm,2,335,335,0,1.0,,,0.2727052987082557,0.5222119289218273,True,one_label_class,1.0971696205580633e-07,-2485533.539040073
constant_prior,train_only,arm,3,332,331,1,0.9969879518072289,0.5,0.9981710473763158,0.2725714919075218,0.5191998807290562,False,,0.003004796264678611,-89.71213749551025
constant_prior,train_only,arm,4,330,329,1,0.996969696969697,0.5,0.9981445880253969,0.2725706809572143,0.5191816258915243,False,,0.003022871542024776,-89.16945548888305
constant_prior,train_only,arm,5,330,328,2,0.9939393939393939,0.5,0.9952520364008342,0.2724360632061729,0.5161513228612211,False,,0.006024325535756637,-44.22266627013472
constant_prior,train_only,arm,6,329,325,4,0.9878419452887538,0.5,0.9934032643406087,0.2721651910141079,0.5100538742105811,False,,0.01201067190430174,-21.66028022267674
constant_prior,train_only,arm,7,328,323,5,0.9847560975609756,0.5,0.9876641588991921,0.27202810575332187,0.5069680264828029,False,,0.015017613294873156,-17.113937308945705
constant_prior,train_only,arm,8,325,318,7,0.9784615384615385,0.5,0.9690742114717106,0.2717484771547001,0.5006734673833658,False,,0.021126667479450995,-11.862817925213156
constant_prior,train_only,arm,9,325,311,14,0.9569230769230769,0.5,0.9533461133913498,0.27079165560114443,0.47913500584490426,False,,0.04122266349263274,-5.568999493434964
constant_prior,train_only,arm,10,324,303,21,0.9351851851851852,0.5,0.9221237530157945,0.26982597458875957,0.45739711410701256,False,,0.060791990770155735,-3.4385119021505
constant_prior,train_only,arm,11,322,296,26,0.9192546583850931,0.5,0.8928500643858573,0.26911827913081776,0.44146658730692045,False,,0.07468134188682278,-2.6035544130776067
constant_prior,train_only,arm,12,321,291,30,0.9065420560747663,0.5,0.8833738430091589,0.26855353629296086,0.4287539849965937,False,,0.08526306577824339,-2.1497053717424244
constant_prior,train_only,arm,13,318,278,40,0.8742138364779874,0.5,0.852130641961308,0.2671173920612551,0.39642576539981483,False,,0.11188460825401847,-1.3874364510871966
constant_prior,train_only,arm,14,315,271,44,0.8603174603174604,0.5,0.8342578681526216,0.26650006142215793,0.38252938923928775,False,,0.12225693558849185,-1.1798359343733118
constant_prior,train_only,arm,15,314,266,48,0.8471337579617835,0.5,0.8210689563251253,0.26591439050285626,0.3693456868836108,False,,0.13137526221823445,-1.0240826622376722
constant_prior,train_only,arm,16,312,262,50,0.8397435897435898,0.5,0.8172354800281816,0.2655860907204905,0.36195551866541714,False,,0.13616860960986754,-0.9504208163791417
constant_prior,train_only,arm,17,311,259,52,0.8327974276527331,0.5,0.8067961382889993,0.2652775154032073,0.3550093565745605,False,,0.14052901066773527,-0.8877064183595911
constant_prior,train_only,arm,18,309,257,52,0.8317152103559871,0.5,0.8051581170527266,0.2652294391358607,0.3539271392778144,False,,0.14047852592407148,-0.8880425843820214
constant_prior,train_only,arm,19,309,255,54,0.8252427184466019,0.5,0.801098516060302,0.264941906075384,0.34745464736842924,False,,0.14465560902375854,-0.8315356581290212
constant_prior,train_only,arm,20,306,250,56,0.8169934640522876,0.5,0.7898461243260074,0.26457544237085484,0.3392053929741149,False,,0.14998623109982123,-0.7639982045736609
constant_prior,train_only,arm,21,306,247,59,0.8071895424836601,0.5,0.7840665005175973,0.2641399143527798,0.3294014714054875,False,,0.15614105014125432,-0.6916750214874523
constant_prior,train_only,arm,22,306,245,61,0.8006535947712419,0.5,0.771069275272973,0.26384956234072976,0.3228655236930692,False,,0.15997048742241848,-0.6493639957725947
constant_prior,train_only,arm,23,305,238,67,0.780327868852459,0.5,0.7559006571916772,0.2629466151819447,0.3025397977742863,False,,0.17229128530054183,-0.5261747843094056
constant_prior,train_only,arm,24,303,233,70,0.768976897689769,0.5,0.7449828327243437,0.26244236125262593,0.29118882661159634,False,,0.17862765779020476,-0.46921459139804744
constant_prior,train_only,arm,25,300,227,73,0.7566666666666667,0.5,0.7285884898094351,0.261895493299633,0.2788785955884941,False,,0.18537679386254033,-0.4127738852460274
constant_prior,train_only,arm,26,296,219,77,0.7398648648648649,0.5,0.7210183235030787,0.2611490924448725,0.2620767937866923,False,,0.19401181586952818,-0.3460473594066753
constant_prior,train_only,arm,27,294,214,80,0.7278911564625851,0.5,0.7078148101210923,0.2606171741249483,0.2501030853844125,False,,0.19980111624891983,-0.30438297351783317
