model,seed,group,sample_count,mae,median_absolute_error,exact_match,within_plus_minus_2,within_plus_minus_5,spearman,over_commit_rate,under_commit_rate,mean_learned_horizon,mean_refresh_oracle_horizon
constant_prior,train_only,arm,341,42.976539589442815,37.0,0.011730205278592375,0.02932551319648094,0.0469208211143695,,0.0,0.9882697947214076,1.0,43.976539589442815
constant_prior,train_only,gripper,341,21.46041055718475,17.0,0.07917888563049853,0.17888563049853373,0.24926686217008798,,0.0,0.9208211143695014,1.0,22.46041055718475
constant_prior,train_only,overall,682,32.21847507331378,24.5,0.045454545454545456,0.10410557184750734,0.14809384164222875,,0.0,0.9545454545454546,1.0,33.21847507331378
empirical_group_offset_prior_train_only,train_only,arm,341,25.24340175953079,23.0,0.017595307917888565,0.07624633431085044,0.15542521994134897,,0.5806451612903226,0.40175953079178883,46.0,43.976539589442815
empirical_group_offset_prior_train_only,train_only,gripper,341,14.67741935483871,12.0,0.026392961876832845,0.15249266862170088,0.25513196480938416,,0.4340175953079179,0.5395894428152492,16.0,22.46041055718475
empirical_group_offset_prior_train_only,train_only,overall,682,19.96041055718475,15.0,0.021994134897360705,0.11436950146627566,0.20527859237536658,0.3875678932766282,0.5073313782991202,0.4706744868035191,31.0,33.21847507331378
independent_vector_shared_mlp,20260820,arm,341,24.319648093841643,18.0,0.03225806451612903,0.093841642228739,0.18475073313782991,0.19023159231240241,0.5366568914956011,0.4310850439882698,44.10263929618768,43.976539589442815
independent_vector_shared_mlp,20260820,gripper,341,7.448680351906158,5.0,0.07624633431085044,0.31085043988269795,0.5601173020527859,0.8321735269252597,0.2903225806451613,0.6334310850439883,18.319648093841643,22.46041055718475
independent_vector_shared_mlp,20260820,overall,682,15.8841642228739,9.0,0.054252199413489736,0.20234604105571846,0.3724340175953079,0.6218189444414605,0.41348973607038125,0.532258064516129,31.211143695014663,33.21847507331378
independent_vector_shared_mlp,20260821,arm,341,28.55131964809384,23.0,0.03519061583577713,0.07917888563049853,0.16715542521994134,0.10768529175466411,0.5806451612903226,0.3841642228739003,50.09384164222874,43.976539589442815
independent_vector_shared_mlp,20260821,gripper,341,7.190615835777126,5.0,0.07624633431085044,0.3255131964809384,0.5659824046920822,0.8102324693564328,0.41935483870967744,0.5043988269794721,20.173020527859236,22.46041055718475
independent_vector_shared_mlp,20260821,overall,682,17.870967741935484,9.0,0.05571847507331378,0.20234604105571846,0.36656891495601174,0.5860781138915329,0.5,0.4442815249266862,35.13343108504399,33.21847507331378
independent_vector_shared_mlp,20260822,arm,341,26.560117302052785,21.0,0.01466275659824047,0.08504398826979472,0.15835777126099707,0.15209371577796774,0.5542521994134897,0.4310850439882698,47.856304985337246,43.976539589442815
independent_vector_shared_mlp,20260822,gripper,341,8.466275659824047,5.0,0.07624633431085044,0.2932551319648094,0.5249266862170088,0.7962893490281474,0.2873900293255132,0.6363636363636364,17.90615835777126,22.46041055718475
independent_vector_shared_mlp,20260822,overall,682,17.513196480938415,10.0,0.045454545454545456,0.18914956011730205,0.3416422287390029,0.5880327696595118,0.4208211143695015,0.533724340175953,32.881231671554254,33.21847507331378
monotone_conditional_survival_shared_mlp,20260820,arm,341,26.073313782991203,20.0,0.026392961876832845,0.10263929618768329,0.21114369501466276,0.1768895066537902,0.5131964809384164,0.4604105571847507,45.22873900293255,43.976539589442815
monotone_conditional_survival_shared_mlp,20260820,gripper,341,7.964809384164223,5.0,0.08504398826979472,0.375366568914956,0.5366568914956011,0.7936818957167817,0.2873900293255132,0.6275659824046921,18.912023460410555,22.46041055718475
monotone_conditional_survival_shared_mlp,20260820,overall,682,17.019061583577713,10.0,0.05571847507331378,0.23900293255131966,0.37390029325513197,0.600005328909298,0.4002932551319648,0.5439882697947214,32.070381231671554,33.21847507331378
monotone_conditional_survival_shared_mlp,20260821,arm,341,25.422287390029325,19.0,0.03519061583577713,0.08797653958944282,0.187683284457478,0.20342240296305167,0.5366568914956011,0.4281524926686217,47.09384164222874,43.976539589442815
monotone_conditional_survival_shared_mlp,20260821,gripper,341,7.659824046920821,5.0,0.09090909090909091,0.2844574780058651,0.5483870967741935,0.808505795207033,0.3313782991202346,0.5777126099706745,19.81524926686217,22.46041055718475
monotone_conditional_survival_shared_mlp,20260821,overall,682,16.541055718475075,9.0,0.06304985337243402,0.18621700879765396,0.3680351906158358,0.6147985485597778,0.4340175953079179,0.5029325513196481,33.45454545454545,33.21847507331378
monotone_conditional_survival_shared_mlp,20260822,arm,341,25.73900293255132,21.0,0.05865102639296188,0.1378299120234604,0.21700879765395895,0.2829044154750855,0.6334310850439883,0.30791788856304986,52.360703812316714,43.976539589442815
monotone_conditional_survival_shared_mlp,20260822,gripper,341,8.340175953079179,5.0,0.0967741935483871,0.31085043988269795,0.530791788856305,0.760441806561586,0.36656891495601174,0.5366568914956011,20.35483870967742,22.46041055718475
monotone_conditional_survival_shared_mlp,20260822,overall,682,17.03958944281525,9.0,0.07771260997067449,0.22434017595307917,0.37390029325513197,0.6165997571501481,0.5,0.4222873900293255,36.35777126099707,33.21847507331378
independent_vector_shared_mlp,aggregate_mean_prediction,arm,341,26.082111436950147,20.0,0.011730205278592375,0.07038123167155426,0.15249266862170088,0.15272911730984978,0.5630498533724341,0.4252199413489736,47.17302052785924,43.976539589442815
independent_vector_shared_mlp,aggregate_mean_prediction,gripper,341,7.340175953079179,5.0,0.07331378299120235,0.3313782991202346,0.5835777126099707,0.835164380020731,0.3196480938416422,0.6070381231671554,18.69208211143695,22.46041055718475
independent_vector_shared_mlp,aggregate_mean_prediction,overall,682,16.711143695014663,9.0,0.04252199413489736,0.20087976539589442,0.3680351906158358,0.608840304832739,0.4413489736070381,0.5161290322580645,32.93255131964809,33.21847507331378
monotone_conditional_survival_shared_mlp,aggregate_mean_prediction,arm,341,24.055718475073313,19.0,0.03812316715542522,0.10557184750733138,0.2287390029325513,0.21739995438547,0.5366568914956011,0.4252199413489736,44.59530791788856,43.976539589442815
monotone_conditional_survival_shared_mlp,aggregate_mean_prediction,gripper,341,7.513196480938417,5.0,0.10850439882697947,0.3284457478005865,0.5571847507331378,0.821454401904042,0.26099706744868034,0.6304985337243402,18.65982404692082,22.46041055718475
monotone_conditional_survival_shared_mlp,aggregate_mean_prediction,overall,682,15.784457478005866,9.0,0.07331378299120235,0.21700879765395895,0.39296187683284456,0.6272141744618656,0.39882697947214074,0.5278592375366569,31.627565982404693,33.21847507331378
