family,contrast,group,metric,task,mean_paired_difference
confirmation,Fresh-A20G0,rotation,d2_mean,libero_goal:task4,0.0009963965398522053
confirmation,Fresh-A20G0,rotation,d2_mean,libero_goal:task6,0.000626469512477632
confirmation,Fresh-A20G0,rotation,d2_mean,libero_goal:task7,-0.00032769366516594717
confirmation,Fresh-A20G0,rotation,d2_mean,libero_goal:task8,-0.0001402773313594827
confirmation,Fresh-A20G0,rotation,d2_mean,libero_goal:task9,0.00011893071738878938
confirmation,Fresh-A20G0,rotation,d2_median,libero_10:task0,-0.00010655298509077934
confirmation,Fresh-A20G0,rotation,d2_median,libero_10:task2,-1.803955756045186e-05
confirmation,Fresh-A20G0,rotation,d2_median,libero_10:task4,0.0002774932901281717
confirmation,Fresh-A20G0,rotation,d2_median,libero_10:task6,0.0004549341306290161
confirmation,Fresh-A20G0,rotation,d2_median,libero_10:task7,0.0001246939220595645
confirmation,Fresh-A20G0,rotation,d2_median,libero_goal:task4,0.0009364640544682862
confirmation,Fresh-A20G0,rotation,d2_median,libero_goal:task6,0.00057418152805519
confirmation,Fresh-A20G0,rotation,d2_median,libero_goal:task7,-0.00010089148824006334
confirmation,Fresh-A20G0,rotation,d2_median,libero_goal:task8,-0.00012232359357275974
confirmation,Fresh-A20G0,rotation,d2_median,libero_goal:task9,-0.00015722604057529633
confirmation,Fresh-A20G0,gripper,d1_mean,libero_10:task0,0.011020217878976096
confirmation,Fresh-A20G0,gripper,d1_mean,libero_10:task2,-0.0012368941438875936
confirmation,Fresh-A20G0,gripper,d1_mean,libero_10:task4,0.021225149766468325
confirmation,Fresh-A20G0,gripper,d1_mean,libero_10:task6,0.011147417737380283
confirmation,Fresh-A20G0,gripper,d1_mean,libero_10:task7,0.013096024306813758
confirmation,Fresh-A20G0,gripper,d1_mean,libero_goal:task4,0.014418102824276422
confirmation,Fresh-A20G0,gripper,d1_mean,libero_goal:task6,0.025623142283891568
confirmation,Fresh-A20G0,gripper,d1_mean,libero_goal:task7,-0.00033592284691089547
confirmation,Fresh-A20G0,gripper,d1_mean,libero_goal:task8,-0.0022915366953596486
confirmation,Fresh-A20G0,gripper,d1_mean,libero_goal:task9,-0.006077366158722809
confirmation,Fresh-A20G0,gripper,d1_median,libero_10:task0,0.001019235168184553
confirmation,Fresh-A20G0,gripper,d1_median,libero_10:task2,-0.0016397791249411447
confirmation,Fresh-A20G0,gripper,d1_median,libero_10:task4,-0.0007370497499193464
confirmation,Fresh-A20G0,gripper,d1_median,libero_10:task6,0.0012353062629699707
confirmation,Fresh-A20G0,gripper,d1_median,libero_10:task7,0.0011067901338849748
confirmation,Fresh-A20G0,gripper,d1_median,libero_goal:task4,0.0010995524270193918
confirmation,Fresh-A20G0,gripper,d1_median,libero_goal:task6,0.0011574455669948033
confirmation,Fresh-A20G0,gripper,d1_median,libero_goal:task7,-0.0009671364511762347
confirmation,Fresh-A20G0,gripper,d1_median,libero_goal:task8,-0.0015789398125239781
confirmation,Fresh-A20G0,gripper,d1_median,libero_goal:task9,-0.0058155182216848645
confirmation,Fresh-A20G0,gripper,d2_mean,libero_10:task0,0.013029675746085049
confirmation,Fresh-A20G0,gripper,d2_mean,libero_10:task2,-0.007134751388598216
confirmation,Fresh-A20G0,gripper,d2_mean,libero_10:task4,0.03322900070458447
confirmation,Fresh-A20G0,gripper,d2_mean,libero_10:task6,0.014944187141527083
confirmation,Fresh-A20G0,gripper,d2_mean,libero_10:task7,0.018873225849406188
confirmation,Fresh-A20G0,gripper,d2_mean,libero_goal:task4,0.018306208562235367
confirmation,Fresh-A20G0,gripper,d2_mean,libero_goal:task6,0.03558027446437612
confirmation,Fresh-A20G0,gripper,d2_mean,libero_goal:task7,-2.0567903481274524e-05
confirmation,Fresh-A20G0,gripper,d2_mean,libero_goal:task8,-0.007227559278891753
confirmation,Fresh-A20G0,gripper,d2_mean,libero_goal:task9,-0.013563263832549634
confirmation,Fresh-A20G0,gripper,d2_median,libero_10:task0,0.0015444414956229074
confirmation,Fresh-A20G0,gripper,d2_median,libero_10:task2,-0.002606657998902457
confirmation,Fresh-A20G0,gripper,d2_median,libero_10:task4,-0.0011829119175672531
confirmation,Fresh-A20G0,gripper,d2_median,libero_10:task6,0.0011787393263408116
confirmation,Fresh-A20G0,gripper,d2_median,libero_10:task7,0.001470746738570077
confirmation,Fresh-A20G0,gripper,d2_median,libero_goal:task4,0.001456690686089652
confirmation,Fresh-A20G0,gripper,d2_median,libero_goal:task6,-0.00014611865792955671
confirmation,Fresh-A20G0,gripper,d2_median,libero_goal:task7,-0.0013929094587053572
confirmation,Fresh-A20G0,gripper,d2_median,libero_goal:task8,-0.0030186602047511508
confirmation,Fresh-A20G0,gripper,d2_median,libero_goal:task9,-0.009346349697027887
confirmation,Fresh-A20G0,gripper,gripper_state_switch_probability,libero_10:task0,0.003397470043458082
confirmation,Fresh-A20G0,gripper,gripper_state_switch_probability,libero_10:task2,0.0025626426836375077
confirmation,Fresh-A20G0,gripper,gripper_state_switch_probability,libero_10:task4,0.009636610495948533
confirmation,Fresh-A20G0,gripper,gripper_state_switch_probability,libero_10:task6,0.0047599975312971965
confirmation,Fresh-A20G0,gripper,gripper_state_switch_probability,libero_10:task7,0.006215301040254689
confirmation,Fresh-A20G0,gripper,gripper_state_switch_probability,libero_goal:task4,0.0054708951119702195
confirmation,Fresh-A20G0,gripper,gripper_state_switch_probability,libero_goal:task6,0.009865137669792686
confirmation,Fresh-A20G0,gripper,gripper_state_switch_probability,libero_goal:task7,0.0008095099605858221
confirmation,Fresh-A20G0,gripper,gripper_state_switch_probability,libero_goal:task8,0.0006699165072630289
confirmation,Fresh-A20G0,gripper,gripper_state_switch_probability,libero_goal:task9,-0.008171236137058384
confirmation,Fresh-coherent_H16,translation,d1_mean,libero_10:task0,-0.019458310719627305
confirmation,Fresh-coherent_H16,translation,d1_mean,libero_10:task2,-0.005890518702432036
confirmation,Fresh-coherent_H16,translation,d1_mean,libero_10:task4,-0.014535286104306674
confirmation,Fresh-coherent_H16,translation,d1_mean,libero_10:task6,-0.00721792246941997
confirmation,Fresh-coherent_H16,translation,d1_mean,libero_10:task7,-0.023139253424558574
confirmation,Fresh-coherent_H16,translation,d1_mean,libero_goal:task4,0.000722155908015121
confirmation,Fresh-coherent_H16,translation,d1_mean,libero_goal:task6,-0.009200956053309966
confirmation,Fresh-coherent_H16,translation,d1_mean,libero_goal:task7,-0.0012155550316922269
confirmation,Fresh-coherent_H16,translation,d1_mean,libero_goal:task8,-0.004432630646461687
confirmation,Fresh-coherent_H16,translation,d1_mean,libero_goal:task9,-0.007320069418130002
confirmation,Fresh-coherent_H16,translation,d1_median,libero_10:task0,-0.015011520653507499
confirmation,Fresh-coherent_H16,translation,d1_median,libero_10:task2,-0.0045207043137582646
confirmation,Fresh-coherent_H16,translation,d1_median,libero_10:task4,-0.01417936273789285
confirmation,Fresh-coherent_H16,translation,d1_median,libero_10:task6,-0.005858502971706775
confirmation,Fresh-coherent_H16,translation,d1_median,libero_10:task7,-0.016264377232429416
confirmation,Fresh-coherent_H16,translation,d1_median,libero_goal:task4,0.00264582362824857
confirmation,Fresh-coherent_H16,translation,d1_median,libero_goal:task6,-0.0041469303592363334
confirmation,Fresh-coherent_H16,translation,d1_median,libero_goal:task7,0.0012023226520911472
confirmation,Fresh-coherent_H16,translation,d1_median,libero_goal:task8,-0.005147487835752261
confirmation,Fresh-coherent_H16,translation,d1_median,libero_goal:task9,-0.0053221657341587245
confirmation,Fresh-coherent_H16,translation,d2_mean,libero_10:task0,-0.017303897436919343
confirmation,Fresh-coherent_H16,translation,d2_mean,libero_10:task2,-0.0005731630150886319
confirmation,Fresh-coherent_H16,translation,d2_mean,libero_10:task4,-0.007343929858874298
confirmation,Fresh-coherent_H16,translation,d2_mean,libero_10:task6,-0.0058099822750841
confirmation,Fresh-coherent_H16,translation,d2_mean,libero_10:task7,-0.018565583679342162
confirmation,Fresh-coherent_H16,translation,d2_mean,libero_goal:task4,-0.0023293977141789807
confirmation,Fresh-coherent_H16,translation,d2_mean,libero_goal:task6,-0.010823106836251829
confirmation,Fresh-coherent_H16,translation,d2_mean,libero_goal:task7,-0.002113252187655698
confirmation,Fresh-coherent_H16,translation,d2_mean,libero_goal:task8,-0.0011219640084253837
confirmation,Fresh-coherent_H16,translation,d2_mean,libero_goal:task9,-0.005647970542906054
confirmation,Fresh-coherent_H16,translation,d2_median,libero_10:task0,-0.004526880961869326
confirmation,Fresh-coherent_H16,translation,d2_median,libero_10:task2,0.003659742563142783
confirmation,Fresh-coherent_H16,translation,d2_median,libero_10:task4,-0.0019182033973581586
confirmation,Fresh-coherent_H16,translation,d2_median,libero_10:task6,0.0008612209716741551
confirmation,Fresh-coherent_H16,translation,d2_median,libero_10:task7,-0.0039990776230362955
confirmation,Fresh-coherent_H16,translation,d2_median,libero_goal:task4,0.0020725527006479733
confirmation,Fresh-coherent_H16,translation,d2_median,libero_goal:task6,0.0019270328436717242
confirmation,Fresh-coherent_H16,translation,d2_median,libero_goal:task7,-0.0009484813233881583
confirmation,Fresh-coherent_H16,translation,d2_median,libero_goal:task8,0.001125370738600178
confirmation,Fresh-coherent_H16,translation,d2_median,libero_goal:task9,-0.001497946554209619
confirmation,Fresh-coherent_H16,rotation,d1_mean,libero_10:task0,-0.0016511085961629002
confirmation,Fresh-coherent_H16,rotation,d1_mean,libero_10:task2,-0.0012191084581062342
confirmation,Fresh-coherent_H16,rotation,d1_mean,libero_10:task4,-0.0014334440276709273
confirmation,Fresh-coherent_H16,rotation,d1_mean,libero_10:task6,-0.0007467669505820588
confirmation,Fresh-coherent_H16,rotation,d1_mean,libero_10:task7,-0.0026074699100691024
confirmation,Fresh-coherent_H16,rotation,d1_mean,libero_goal:task4,-9.951582366123115e-05
confirmation,Fresh-coherent_H16,rotation,d1_mean,libero_goal:task6,-0.0008219602082100056
confirmation,Fresh-coherent_H16,rotation,d1_mean,libero_goal:task7,-0.000644235854113575
confirmation,Fresh-coherent_H16,rotation,d1_mean,libero_goal:task8,-0.0003563968755047378
confirmation,Fresh-coherent_H16,rotation,d1_mean,libero_goal:task9,-0.0020564522178688036
confirmation,Fresh-coherent_H16,rotation,d1_median,libero_10:task0,-0.0012158594927375403
confirmation,Fresh-coherent_H16,rotation,d1_median,libero_10:task2,-0.0006180066952391624
confirmation,Fresh-coherent_H16,rotation,d1_median,libero_10:task4,-0.001234006642754812
confirmation,Fresh-coherent_H16,rotation,d1_median,libero_10:task6,-0.00031430170377449025
confirmation,Fresh-coherent_H16,rotation,d1_median,libero_10:task7,-0.001971285613868002
confirmation,Fresh-coherent_H16,rotation,d1_median,libero_goal:task4,0.0001020299166308669
confirmation,Fresh-coherent_H16,rotation,d1_median,libero_goal:task6,-0.0007960380823833994
confirmation,Fresh-coherent_H16,rotation,d1_median,libero_goal:task7,-0.0002571729220199713
confirmation,Fresh-coherent_H16,rotation,d1_median,libero_goal:task8,-0.00034635265383221533
confirmation,Fresh-coherent_H16,rotation,d1_median,libero_goal:task9,-0.001987997913921426
confirmation,Fresh-coherent_H16,rotation,d2_mean,libero_10:task0,-0.0014526214517588869
confirmation,Fresh-coherent_H16,rotation,d2_mean,libero_10:task2,-0.00041738490909386
confirmation,Fresh-coherent_H16,rotation,d2_mean,libero_10:task4,-0.0008324517570980593
confirmation,Fresh-coherent_H16,rotation,d2_mean,libero_10:task6,-0.00032425213286264805
confirmation,Fresh-coherent_H16,rotation,d2_mean,libero_10:task7,-0.0020943972685067
confirmation,Fresh-coherent_H16,rotation,d2_mean,libero_goal:task4,-0.0002053912339597481
confirmation,Fresh-coherent_H16,rotation,d2_mean,libero_goal:task6,-0.0007099932343789475
confirmation,Fresh-coherent_H16,rotation,d2_mean,libero_goal:task7,-0.0004226196656853415
confirmation,Fresh-coherent_H16,rotation,d2_mean,libero_goal:task8,-0.0001305260917461517
confirmation,Fresh-coherent_H16,rotation,d2_mean,libero_goal:task9,-0.001814865923622248
confirmation,Fresh-coherent_H16,rotation,d2_median,libero_10:task0,-0.00043579367265994166
confirmation,Fresh-coherent_H16,rotation,d2_median,libero_10:task2,0.000984969521659807
confirmation,Fresh-coherent_H16,rotation,d2_median,libero_10:task4,2.7892701244089136e-05
confirmation,Fresh-coherent_H16,rotation,d2_median,libero_10:task6,0.0007722262214327651
confirmation,Fresh-coherent_H16,rotation,d2_median,libero_10:task7,-0.00035627274817128126
confirmation,Fresh-coherent_H16,rotation,d2_median,libero_goal:task4,0.0004562134189000556
confirmation,Fresh-coherent_H16,rotation,d2_median,libero_goal:task6,2.974213757556676e-05
confirmation,Fresh-coherent_H16,rotation,d2_median,libero_goal:task7,-0.0002697909142759136
confirmation,Fresh-coherent_H16,rotation,d2_median,libero_goal:task8,0.00021317602473881232
confirmation,Fresh-coherent_H16,rotation,d2_median,libero_goal:task9,-0.0005588915707451169
confirmation,Fresh-coherent_H16,gripper,d1_mean,libero_10:task0,-0.09101516355106462
confirmation,Fresh-coherent_H16,gripper,d1_mean,libero_10:task2,-0.011570310602800131
confirmation,Fresh-coherent_H16,gripper,d1_mean,libero_10:task4,-0.007381000261853092
confirmation,Fresh-coherent_H16,gripper,d1_mean,libero_10:task6,-0.048815282455962894
confirmation,Fresh-coherent_H16,gripper,d1_mean,libero_10:task7,-0.0941466916189643
confirmation,Fresh-coherent_H16,gripper,d1_mean,libero_goal:task4,-0.02105592466362504
confirmation,Fresh-coherent_H16,gripper,d1_mean,libero_goal:task6,-0.017616107996083697
confirmation,Fresh-coherent_H16,gripper,d1_mean,libero_goal:task7,-0.004439994491363086
confirmation,Fresh-coherent_H16,gripper,d1_mean,libero_goal:task8,2.150964460384789e-05
confirmation,Fresh-coherent_H16,gripper,d1_mean,libero_goal:task9,-0.015741320826422756
confirmation,Fresh-coherent_H16,gripper,d1_median,libero_10:task0,-0.002986703600202288
confirmation,Fresh-coherent_H16,gripper,d1_median,libero_10:task2,-0.00016705478940691267
confirmation,Fresh-coherent_H16,gripper,d1_median,libero_10:task4,-0.0006165504455566406
confirmation,Fresh-coherent_H16,gripper,d1_median,libero_10:task6,-0.00016970719609941755
confirmation,Fresh-coherent_H16,gripper,d1_median,libero_10:task7,-0.0010138750076293945
confirmation,Fresh-coherent_H16,gripper,d1_median,libero_goal:task4,-0.0015833888735089982
confirmation,Fresh-coherent_H16,gripper,d1_median,libero_goal:task6,-0.003990558641297477
confirmation,Fresh-coherent_H16,gripper,d1_median,libero_goal:task7,0.00016267810549054827
confirmation,Fresh-coherent_H16,gripper,d1_median,libero_goal:task8,-0.0008839496544429234
confirmation,Fresh-coherent_H16,gripper,d1_median,libero_goal:task9,-0.0028879429612840924
confirmation,Fresh-coherent_H16,gripper,d2_mean,libero_10:task0,-0.13059848683821326
confirmation,Fresh-coherent_H16,gripper,d2_mean,libero_10:task2,-0.015457725124262826
confirmation,Fresh-coherent_H16,gripper,d2_mean,libero_10:task4,-0.008850885016172589
confirmation,Fresh-coherent_H16,gripper,d2_mean,libero_10:task6,-0.06614484320077349
confirmation,Fresh-coherent_H16,gripper,d2_mean,libero_10:task7,-0.14425941183074412
confirmation,Fresh-coherent_H16,gripper,d2_mean,libero_goal:task4,-0.039006398217729485
confirmation,Fresh-coherent_H16,gripper,d2_mean,libero_goal:task6,-0.035377296706036766
confirmation,Fresh-coherent_H16,gripper,d2_mean,libero_goal:task7,-0.018470602006134092
confirmation,Fresh-coherent_H16,gripper,d2_mean,libero_goal:task8,-0.012363956971730107
confirmation,Fresh-coherent_H16,gripper,d2_mean,libero_goal:task9,-0.02094886761678977
confirmation,Fresh-coherent_H16,gripper,d2_median,libero_10:task0,-0.0049436262675694054
confirmation,Fresh-coherent_H16,gripper,d2_median,libero_10:task2,0.0002754735095160348
confirmation,Fresh-coherent_H16,gripper,d2_median,libero_10:task4,-3.2844554100717816e-05
confirmation,Fresh-coherent_H16,gripper,d2_median,libero_10:task6,0.0002726848636354719
confirmation,Fresh-coherent_H16,gripper,d2_median,libero_10:task7,0.00022757904870169505
confirmation,Fresh-coherent_H16,gripper,d2_median,libero_goal:task4,-0.0018332621880940028
confirmation,Fresh-coherent_H16,gripper,d2_median,libero_goal:task6,-0.006971420454127448
confirmation,Fresh-coherent_H16,gripper,d2_median,libero_goal:task7,-0.0006843443427767072
confirmation,Fresh-coherent_H16,gripper,d2_median,libero_goal:task8,-0.00046778576714651924
confirmation,Fresh-coherent_H16,gripper,d2_median,libero_goal:task9,-0.004462253834520068
confirmation,Fresh-coherent_H16,gripper,gripper_state_switch_probability,libero_10:task0,-0.04878666149494498
confirmation,Fresh-coherent_H16,gripper,gripper_state_switch_probability,libero_10:task2,-0.004425628991732712
confirmation,Fresh-coherent_H16,gripper,gripper_state_switch_probability,libero_10:task4,-0.004870152176554072
confirmation,Fresh-coherent_H16,gripper,gripper_state_switch_probability,libero_10:task6,-0.027417830066307356
confirmation,Fresh-coherent_H16,gripper,gripper_state_switch_probability,libero_10:task7,-0.04537732798201773
confirmation,Fresh-coherent_H16,gripper,gripper_state_switch_probability,libero_goal:task4,-0.010953310609423719
confirmation,Fresh-coherent_H16,gripper,gripper_state_switch_probability,libero_goal:task6,-0.009663257587421092
confirmation,Fresh-coherent_H16,gripper,gripper_state_switch_probability,libero_goal:task7,-0.002107950517580509
confirmation,Fresh-coherent_H16,gripper,gripper_state_switch_probability,libero_goal:task8,0.0007684595499126301
confirmation,Fresh-coherent_H16,gripper,gripper_state_switch_probability,libero_goal:task9,-0.0060704731542682066
