cell_id,policy,suite,task_id,state_id,eligible_targets,metric,value
act-libero_object-task03-state16,ACT,libero_object,3,16,105,arm_original,0.07520352555061546
act-libero_object-task03-state17,ACT,libero_object,3,17,265,dim_0,0.1896902967839456
act-libero_object-task03-state17,ACT,libero_object,3,17,265,dim_1,0.12657948578104766
act-libero_object-task03-state17,ACT,libero_object,3,17,265,dim_2,0.4677562162649303
act-libero_object-task03-state17,ACT,libero_object,3,17,265,dim_3,0.20076480924311912
act-libero_object-task03-state17,ACT,libero_object,3,17,265,dim_4,0.5413157368155583
act-libero_object-task03-state17,ACT,libero_object,3,17,265,dim_5,0.06284367568666345
act-libero_object-task03-state17,ACT,libero_object,3,17,265,dim_6,0.4421269594566994
act-libero_object-task03-state17,ACT,libero_object,3,17,265,translation,0.3151436776701155
act-libero_object-task03-state17,ACT,libero_object,3,17,265,rotation,0.3413434961355238
act-libero_object-task03-state17,ACT,libero_object,3,17,265,gripper,0.4421269594566994
act-libero_object-task03-state17,ACT,libero_object,3,17,265,arm_original,0.32984982327343604
act-libero_object-task03-state18,ACT,libero_object,3,18,104,dim_0,0.032229515540883456
act-libero_object-task03-state18,ACT,libero_object,3,18,104,dim_1,0.03371871063925315
act-libero_object-task03-state18,ACT,libero_object,3,18,104,dim_2,0.05891984462378378
act-libero_object-task03-state18,ACT,libero_object,3,18,104,dim_3,0.061755163768350836
act-libero_object-task03-state18,ACT,libero_object,3,18,104,dim_4,0.04585521639628798
act-libero_object-task03-state18,ACT,libero_object,3,18,104,dim_5,0.03145712360573126
act-libero_object-task03-state18,ACT,libero_object,3,18,104,dim_6,0.03348842772628689
act-libero_object-task03-state18,ACT,libero_object,3,18,104,translation,0.04823821897993578
act-libero_object-task03-state18,ACT,libero_object,3,18,104,rotation,0.05222628296608267
act-libero_object-task03-state18,ACT,libero_object,3,18,104,gripper,0.03348842772628689
act-libero_object-task03-state18,ACT,libero_object,3,18,104,arm_original,0.051615653958008365
act-libero_object-task03-state19,ACT,libero_object,3,19,109,dim_0,0.054677779045362626
act-libero_object-task03-state19,ACT,libero_object,3,19,109,dim_1,0.03983838546908293
act-libero_object-task03-state19,ACT,libero_object,3,19,109,dim_2,0.0739598202110892
act-libero_object-task03-state19,ACT,libero_object,3,19,109,dim_3,0.05436560791392024
act-libero_object-task03-state19,ACT,libero_object,3,19,109,dim_4,0.07222921169857019
act-libero_object-task03-state19,ACT,libero_object,3,19,109,dim_5,0.03138168491955616
act-libero_object-task03-state19,ACT,libero_object,3,19,109,dim_6,0.025300074185633906
act-libero_object-task03-state19,ACT,libero_object,3,19,109,translation,0.06557450428881632
act-libero_object-task03-state19,ACT,libero_object,3,19,109,rotation,0.05977121704110023
act-libero_object-task03-state19,ACT,libero_object,3,19,109,gripper,0.025300074185633906
act-libero_object-task03-state19,ACT,libero_object,3,19,109,arm_original,0.06415997587243207
