cell_id,policy,suite,task_id,state_id,eligible_targets,metric,value,units
act-libero_spatial-task00-state15,ACT,libero_spatial,0,15,62,arm_original,0.047203425153501594,controller_native_action
act-libero_spatial-task00-state16,ACT,libero_spatial,0,16,265,translation,0.24308141942068287,controller_native_action
act-libero_spatial-task00-state16,ACT,libero_spatial,0,16,265,rotation,0.029421672130840626,controller_native_action
act-libero_spatial-task00-state16,ACT,libero_spatial,0,16,265,gripper,0.2460423399102646,controller_native_action
act-libero_spatial-task00-state16,ACT,libero_spatial,0,16,265,arm_original,0.17323187106523166,controller_native_action
act-libero_spatial-task00-state17,ACT,libero_spatial,0,17,60,translation,0.038178613529528935,controller_native_action
act-libero_spatial-task00-state17,ACT,libero_spatial,0,17,60,rotation,0.0062258512463304145,controller_native_action
act-libero_spatial-task00-state17,ACT,libero_spatial,0,17,60,gripper,0.01892700924130055,controller_native_action
act-libero_spatial-task00-state17,ACT,libero_spatial,0,17,60,arm_original,0.02739334419129413,controller_native_action
act-libero_spatial-task00-state18,ACT,libero_spatial,0,18,265,translation,0.2070995670642567,controller_native_action
act-libero_spatial-task00-state18,ACT,libero_spatial,0,18,265,rotation,0.04327565984055178,controller_native_action
act-libero_spatial-task00-state18,ACT,libero_spatial,0,18,265,gripper,0.2971035390210366,controller_native_action
act-libero_spatial-task00-state18,ACT,libero_spatial,0,18,265,arm_original,0.1499160931880502,controller_native_action
act-libero_spatial-task00-state19,ACT,libero_spatial,0,19,62,translation,0.04795194384588461,controller_native_action
act-libero_spatial-task00-state19,ACT,libero_spatial,0,19,62,rotation,0.00648414414997956,controller_native_action
act-libero_spatial-task00-state19,ACT,libero_spatial,0,19,62,gripper,0.020376928601659985,controller_native_action
act-libero_spatial-task00-state19,ACT,libero_spatial,0,19,62,arm_original,0.034270025387057666,controller_native_action
act-libero_goal-task02-state10,ACT,libero_goal,2,10,68,translation,0.0304778426122834,controller_native_action
act-libero_goal-task02-state10,ACT,libero_goal,2,10,68,rotation,0.0043969921315767675,controller_native_action
act-libero_goal-task02-state10,ACT,libero_goal,2,10,68,gripper,0.02247451684546463,controller_native_action
act-libero_goal-task02-state10,ACT,libero_goal,2,10,68,arm_original,0.02185536499080747,controller_native_action
act-libero_goal-task02-state11,ACT,libero_goal,2,11,65,translation,0.03188209581417985,controller_native_action
act-libero_goal-task02-state11,ACT,libero_goal,2,11,65,rotation,0.005571223875046519,controller_native_action
act-libero_goal-task02-state11,ACT,libero_goal,2,11,65,gripper,0.019470880551661605,controller_native_action
act-libero_goal-task02-state11,ACT,libero_goal,2,11,65,arm_original,0.02299111542142795,controller_native_action
act-libero_goal-task02-state12,ACT,libero_goal,2,12,75,translation,0.03067869094857251,controller_native_action
act-libero_goal-task02-state12,ACT,libero_goal,2,12,75,rotation,0.005865290318461792,controller_native_action
act-libero_goal-task02-state12,ACT,libero_goal,2,12,75,gripper,0.047855946478071884,controller_native_action
act-libero_goal-task02-state12,ACT,libero_goal,2,12,75,arm_original,0.022193314128433377,controller_native_action
act-libero_goal-task02-state13,ACT,libero_goal,2,13,75,translation,0.027437459273859655,controller_native_action
act-libero_goal-task02-state13,ACT,libero_goal,2,13,75,rotation,0.004650755395785362,controller_native_action
act-libero_goal-task02-state13,ACT,libero_goal,2,13,75,gripper,0.01839370233659271,controller_native_action
act-libero_goal-task02-state13,ACT,libero_goal,2,13,75,arm_original,0.01976083095942996,controller_native_action
act-libero_goal-task02-state14,ACT,libero_goal,2,14,69,translation,0.036281254327958,controller_native_action
act-libero_goal-task02-state14,ACT,libero_goal,2,14,69,rotation,0.005301214088343785,controller_native_action
act-libero_goal-task02-state14,ACT,libero_goal,2,14,69,gripper,0.03092009899682966,controller_native_action
act-libero_goal-task02-state14,ACT,libero_goal,2,14,69,arm_original,0.026007641387893847,controller_native_action
act-libero_goal-task02-state15,ACT,libero_goal,2,15,70,translation,0.03473397905121278,controller_native_action
act-libero_goal-task02-state15,ACT,libero_goal,2,15,70,rotation,0.005209138006124413,controller_native_action
act-libero_goal-task02-state15,ACT,libero_goal,2,15,70,gripper,0.018996892503594553,controller_native_action
act-libero_goal-task02-state15,ACT,libero_goal,2,15,70,arm_original,0.024932530898245642,controller_native_action
act-libero_goal-task02-state16,ACT,libero_goal,2,16,79,translation,0.0294246625596893,controller_native_action
act-libero_goal-task02-state16,ACT,libero_goal,2,16,79,rotation,0.005212125289768819,controller_native_action
act-libero_goal-task02-state16,ACT,libero_goal,2,16,79,gripper,0.027207388282429575,controller_native_action
act-libero_goal-task02-state16,ACT,libero_goal,2,16,79,arm_original,0.021241671626378446,controller_native_action
act-libero_goal-task02-state17,ACT,libero_goal,2,17,65,translation,0.04068658684490726,controller_native_action
act-libero_goal-task02-state17,ACT,libero_goal,2,17,65,rotation,0.006091044674894861,controller_native_action
act-libero_goal-task02-state17,ACT,libero_goal,2,17,65,gripper,0.046675380083083265,controller_native_action
act-libero_goal-task02-state17,ACT,libero_goal,2,17,65,arm_original,0.029192843141625267,controller_native_action
act-libero_goal-task02-state18,ACT,libero_goal,2,18,74,translation,0.026317219412394056,controller_native_action
act-libero_goal-task02-state18,ACT,libero_goal,2,18,74,rotation,0.004521319269045882,controller_native_action
act-libero_goal-task02-state18,ACT,libero_goal,2,18,74,gripper,0.026496917898756234,controller_native_action
act-libero_goal-task02-state18,ACT,libero_goal,2,18,74,arm_original,0.018962195717061738,controller_native_action
act-libero_goal-task02-state19,ACT,libero_goal,2,19,67,translation,0.024001874457646476,controller_native_action
act-libero_goal-task02-state19,ACT,libero_goal,2,19,67,rotation,0.003724103749389877,controller_native_action
act-libero_goal-task02-state19,ACT,libero_goal,2,19,67,gripper,0.01878185681628505,controller_native_action
act-libero_goal-task02-state19,ACT,libero_goal,2,19,67,arm_original,0.01723211164740179,controller_native_action
act-libero_10-task03-state10,ACT,libero_10,3,10,234,translation,0.04056191373548419,controller_native_action
act-libero_10-task03-state10,ACT,libero_10,3,10,234,rotation,0.007276001858545674,controller_native_action
act-libero_10-task03-state10,ACT,libero_10,3,10,234,gripper,0.030609689712720503,controller_native_action
act-libero_10-task03-state10,ACT,libero_10,3,10,234,arm_original,0.0293648920725096,controller_native_action
act-libero_10-task03-state11,ACT,libero_10,3,11,505,translation,0.11061020289823222,controller_native_action
act-libero_10-task03-state11,ACT,libero_10,3,11,505,rotation,0.013750751553144265,controller_native_action
act-libero_10-task03-state11,ACT,libero_10,3,11,505,gripper,0.0753930645306083,controller_native_action
act-libero_10-task03-state11,ACT,libero_10,3,11,505,arm_original,0.0789107887393596,controller_native_action
act-libero_10-task03-state12,ACT,libero_10,3,12,215,translation,0.035972550181159295,controller_native_action
act-libero_10-task03-state12,ACT,libero_10,3,12,215,rotation,0.006358639191366229,controller_native_action
act-libero_10-task03-state12,ACT,libero_10,3,12,215,gripper,0.03910350738359076,controller_native_action
act-libero_10-task03-state12,ACT,libero_10,3,12,215,arm_original,0.02602543256615073,controller_native_action
act-libero_10-task03-state13,ACT,libero_10,3,13,229,translation,0.0403596301197265,controller_native_action
act-libero_10-task03-state13,ACT,libero_10,3,13,229,rotation,0.007180018150195215,controller_native_action
act-libero_10-task03-state13,ACT,libero_10,3,13,229,gripper,0.03829134955980889,controller_native_action
act-libero_10-task03-state13,ACT,libero_10,3,13,229,arm_original,0.029201881223327387,controller_native_action
act-libero_10-task03-state14,ACT,libero_10,3,14,209,translation,0.0238335245577303,controller_native_action
act-libero_10-task03-state14,ACT,libero_10,3,14,209,rotation,0.004642121272982462,controller_native_action
act-libero_10-task03-state14,ACT,libero_10,3,14,209,gripper,0.03526835432526937,controller_native_action
act-libero_10-task03-state14,ACT,libero_10,3,14,209,arm_original,0.01724352175463873,controller_native_action
act-libero_10-task03-state15,ACT,libero_10,3,15,505,translation,0.09159620725964812,controller_native_action
act-libero_10-task03-state15,ACT,libero_10,3,15,505,rotation,0.013321479073740275,controller_native_action
