cell_id,policy,suite,task_id,state_id,eligible_targets,source_age,metric,value,units
act-libero_object-task03-state10,ACT,libero_object,3,10,127,13,arm_original,0.06173998292876128,controller_native_action
act-libero_object-task03-state10,ACT,libero_object,3,10,127,14,translation,0.09178686771342569,controller_native_action
act-libero_object-task03-state10,ACT,libero_object,3,10,127,14,rotation,0.014807339697147209,controller_native_action
act-libero_object-task03-state10,ACT,libero_object,3,10,127,14,gripper,0.08862619363409574,controller_native_action
act-libero_object-task03-state10,ACT,libero_object,3,10,127,14,arm_original,0.06574224818770888,controller_native_action
act-libero_object-task03-state10,ACT,libero_object,3,10,127,15,translation,0.0929567551233961,controller_native_action
act-libero_object-task03-state10,ACT,libero_object,3,10,127,15,rotation,0.014560828037312045,controller_native_action
act-libero_object-task03-state10,ACT,libero_object,3,10,127,15,gripper,0.18376419469341448,controller_native_action
act-libero_object-task03-state10,ACT,libero_object,3,10,127,15,arm_original,0.0665318571670865,controller_native_action
act-libero_object-task03-state11,ACT,libero_object,3,11,113,0,translation,0.0,controller_native_action
act-libero_object-task03-state11,ACT,libero_object,3,11,113,0,rotation,0.0,controller_native_action
act-libero_object-task03-state11,ACT,libero_object,3,11,113,0,gripper,0.0,controller_native_action
act-libero_object-task03-state11,ACT,libero_object,3,11,113,0,arm_original,0.0,controller_native_action
act-libero_object-task03-state11,ACT,libero_object,3,11,113,1,translation,0.0274794786640859,controller_native_action
act-libero_object-task03-state11,ACT,libero_object,3,11,113,1,rotation,0.003460920368990515,controller_native_action
act-libero_object-task03-state11,ACT,libero_object,3,11,113,1,gripper,0.3992708509362334,controller_native_action
act-libero_object-task03-state11,ACT,libero_object,3,11,113,1,arm_original,0.019584428986447956,controller_native_action
act-libero_object-task03-state11,ACT,libero_object,3,11,113,2,translation,0.04326790129054966,controller_native_action
act-libero_object-task03-state11,ACT,libero_object,3,11,113,2,rotation,0.004879772469888633,controller_native_action
act-libero_object-task03-state11,ACT,libero_object,3,11,113,2,gripper,0.4253727457014132,controller_native_action
act-libero_object-task03-state11,ACT,libero_object,3,11,113,2,arm_original,0.030788987166246888,controller_native_action
act-libero_object-task03-state11,ACT,libero_object,3,11,113,3,translation,0.05849258228444724,controller_native_action
act-libero_object-task03-state11,ACT,libero_object,3,11,113,3,rotation,0.0072150738817626636,controller_native_action
act-libero_object-task03-state11,ACT,libero_object,3,11,113,3,gripper,0.44898981638580465,controller_native_action
act-libero_object-task03-state11,ACT,libero_object,3,11,113,3,arm_original,0.041673969533883644,controller_native_action
act-libero_object-task03-state11,ACT,libero_object,3,11,113,4,translation,0.06986041812312944,controller_native_action
act-libero_object-task03-state11,ACT,libero_object,3,11,113,4,rotation,0.008859863707312768,controller_native_action
act-libero_object-task03-state11,ACT,libero_object,3,11,113,4,gripper,0.4691009922353592,controller_native_action
act-libero_object-task03-state11,ACT,libero_object,3,11,113,4,arm_original,0.04979445353275118,controller_native_action
act-libero_object-task03-state11,ACT,libero_object,3,11,113,5,translation,0.07633974870106097,controller_native_action
act-libero_object-task03-state11,ACT,libero_object,3,11,113,5,rotation,0.009950935089029386,controller_native_action
act-libero_object-task03-state11,ACT,libero_object,3,11,113,5,gripper,0.4333271226327672,controller_native_action
act-libero_object-task03-state11,ACT,libero_object,3,11,113,5,arm_original,0.0544370202201003,controller_native_action
act-libero_object-task03-state11,ACT,libero_object,3,11,113,6,translation,0.07928418188497434,controller_native_action
act-libero_object-task03-state11,ACT,libero_object,3,11,113,6,rotation,0.010434869390139637,controller_native_action
act-libero_object-task03-state11,ACT,libero_object,3,11,113,6,gripper,0.41010246514592164,controller_native_action
act-libero_object-task03-state11,ACT,libero_object,3,11,113,6,arm_original,0.056545857480274214,controller_native_action
act-libero_object-task03-state11,ACT,libero_object,3,11,113,7,translation,0.08473456298586582,controller_native_action
act-libero_object-task03-state11,ACT,libero_object,3,11,113,7,rotation,0.010541551431973648,controller_native_action
act-libero_object-task03-state11,ACT,libero_object,3,11,113,7,gripper,0.40307882225545616,controller_native_action
act-libero_object-task03-state11,ACT,libero_object,3,11,113,7,arm_original,0.060378267907412714,controller_native_action
