condition,model,group,offset,sample_count,positive_count,negative_count,positive_rate,auroc,auprc,brier,ece,undefined_discrimination,undefined_reason,empirical_brier,brier_skill_score_vs_empirical
A_chunk_only,monotone_conditional_survival_shared_mlp,arm,11,322,296,26,0.9192546583850931,0.7859927234927235,0.9730892513833311,0.06771038088229768,0.026998148933123252,False,,0.07468134188682278,0.09334273900821666
A_chunk_only,monotone_conditional_survival_shared_mlp,arm,12,321,291,30,0.9065420560747663,0.8108820160366552,0.9746095413437903,0.07481516663930507,0.027698730144856208,False,,0.08526306577824339,0.12253722105315512
A_chunk_only,monotone_conditional_survival_shared_mlp,arm,13,318,278,40,0.8742138364779874,0.7913669064748201,0.9605118914130961,0.09751466352957636,0.050653477211947656,False,,0.11188460825401847,0.1284354027661888
A_chunk_only,monotone_conditional_survival_shared_mlp,arm,14,315,271,44,0.8603174603174604,0.7978027507547802,0.9564349645287683,0.10150090333032544,0.05280992816083429,False,,0.12225693558849185,0.16977386320257315
A_chunk_only,monotone_conditional_survival_shared_mlp,arm,15,314,266,48,0.8471337579617835,0.7910401002506265,0.9502436726355736,0.10998341221323815,0.06790128470029828,False,,0.13137526221823445,0.1628301222300219
A_chunk_only,monotone_conditional_survival_shared_mlp,arm,16,312,262,50,0.8397435897435898,0.7917557251908397,0.9458976368951765,0.1119748539155687,0.048116461785686945,False,,0.13616860960986754,0.17767498517915115
A_chunk_only,monotone_conditional_survival_shared_mlp,arm,17,311,259,52,0.8327974276527331,0.7653697653697654,0.9293511052517303,0.11825570129062025,0.05358840081981267,False,,0.14052901066773527,0.1584961658185846
A_chunk_only,monotone_conditional_survival_shared_mlp,arm,18,309,257,52,0.8317152103559871,0.7605507333133792,0.9273852416724004,0.11983827362132755,0.049313313245671904,False,,0.14047852592407148,0.14692816689933064
A_chunk_only,monotone_conditional_survival_shared_mlp,arm,19,309,255,54,0.8252427184466019,0.7602759622367465,0.9232573414977377,0.11959770534708052,0.05640956721615296,False,,0.14465560902375854,0.1732245562117295
A_chunk_only,monotone_conditional_survival_shared_mlp,arm,20,306,250,56,0.8169934640522876,0.7474285714285714,0.9160059442676761,0.1266865455849953,0.06680173143639588,False,,0.14998623109982123,0.15534549634305528
A_chunk_only,monotone_conditional_survival_shared_mlp,arm,21,306,247,59,0.8071895424836601,0.7483016537432238,0.9108763155083549,0.13306794013677284,0.0599560270259125,False,,0.15614105014125432,0.14777094161726334
A_chunk_only,monotone_conditional_survival_shared_mlp,arm,22,306,245,61,0.8006535947712419,0.7269320843091335,0.897898726186254,0.13816314207015093,0.04976639494393693,False,,0.15997048742241848,0.13632105336206812
A_chunk_only,monotone_conditional_survival_shared_mlp,arm,23,305,238,67,0.780327868852459,0.7364229273799072,0.8924780748513559,0.14787569849028556,0.06282137349350815,False,,0.17229128530054183,0.14171109564634188
A_chunk_only,monotone_conditional_survival_shared_mlp,arm,24,303,233,70,0.768976897689769,0.7419987737584304,0.8898201647938002,0.15399446039243345,0.07317954773816393,False,,0.17862765779020476,0.13790248219400936
A_chunk_only,monotone_conditional_survival_shared_mlp,arm,25,300,227,73,0.7566666666666667,0.7372518254782451,0.8801003513274631,0.1603170033726136,0.07769207025452163,False,,0.18537679386254033,0.13518299657566069
A_chunk_only,monotone_conditional_survival_shared_mlp,arm,26,296,219,77,0.7398648648648649,0.7380062859514914,0.873586297103215,0.16859870771046342,0.09055148413836529,False,,0.19401181586952818,0.1309874248904248
A_chunk_only,monotone_conditional_survival_shared_mlp,arm,27,294,214,80,0.7278911564625851,0.7272196261682243,0.8609194177426432,0.1766292625320073,0.0894836955197789,False,,0.19980111624891983,0.11597459589787351
A_chunk_only,monotone_conditional_survival_shared_mlp,arm,28,291,208,83,0.7147766323024055,0.7063832252085264,0.8428550550349327,0.18781890343682942,0.08532286948687076,False,,0.205568487434641,0.08634389550321975
A_chunk_only,monotone_conditional_survival_shared_mlp,arm,29,289,206,83,0.71280276816609,0.7072172183881156,0.8416100729462933,0.19043283945917647,0.08188346886864332,False,,0.2059465129149699,0.07532865323239846
A_chunk_only,monotone_conditional_survival_shared_mlp,arm,30,289,200,89,0.6920415224913494,0.7079213483146067,0.8359860642623831,0.19485364930290888,0.08958111729373391,False,,0.21519484327673813,0.09452454187143644
