condition,model,group,sample_count,mae,median_absolute_error,exact_match,within_plus_minus_2,within_plus_minus_5,spearman,over_commit_rate,under_commit_rate,mean_learned_horizon,mean_refresh_oracle_horizon
A_chunk_only,monotone_conditional_survival_shared_mlp,arm,341,24.055718475073313,19.0,0.03812316715542522,0.10557184750733138,0.2287390029325513,0.21739995438547,0.5366568914956011,0.4252199413489736,44.59530791788856,43.976539589442815
A_chunk_only,monotone_conditional_survival_shared_mlp,gripper,341,7.513196480938417,5.0,0.10850439882697947,0.3284457478005865,0.5571847507331378,0.821454401904042,0.26099706744868034,0.6304985337243402,18.65982404692082,22.46041055718475
A_chunk_only,monotone_conditional_survival_shared_mlp,overall,682,15.784457478005866,9.0,0.07331378299120235,0.21700879765395895,0.39296187683284456,0.6272141744618656,0.39882697947214074,0.5278592375366569,31.627565982404693,33.21847507331378
B_chunk_plus_state,monotone_conditional_survival_shared_mlp,arm,341,23.653958944281523,18.0,0.011730205278592375,0.06451612903225806,0.15835777126099707,0.27394077759400126,0.5777126099706745,0.41055718475073316,45.929618768328446,43.976539589442815
B_chunk_plus_state,monotone_conditional_survival_shared_mlp,gripper,341,7.762463343108505,5.0,0.06744868035190615,0.31671554252199413,0.533724340175953,0.8101270061149518,0.3284457478005865,0.6041055718475073,18.651026392961878,22.46041055718475
B_chunk_plus_state,monotone_conditional_survival_shared_mlp,overall,682,15.708211143695015,9.0,0.039589442815249266,0.1906158357771261,0.3460410557184751,0.6325671278846507,0.4530791788856305,0.5073313782991202,32.29032258064516,33.21847507331378
C_chunk_plus_frozen_ACT_latent,monotone_conditional_survival_shared_mlp,arm,341,25.788856304985337,21.0,0.04398826979472141,0.11730205278592376,0.16422287390029325,0.2591512450413252,0.6129032258064516,0.34310850439882695,52.14076246334311,43.976539589442815
C_chunk_plus_frozen_ACT_latent,monotone_conditional_survival_shared_mlp,gripper,341,9.041055718475073,5.0,0.06744868035190615,0.26392961876832843,0.5073313782991202,0.726693049058268,0.3489736070381232,0.5835777126099707,19.6950146627566,22.46041055718475
C_chunk_plus_frozen_ACT_latent,monotone_conditional_survival_shared_mlp,overall,682,17.414956011730204,10.0,0.05571847507331378,0.1906158357771261,0.3357771260997067,0.5977633631179904,0.4809384164222874,0.4633431085043988,35.91788856304985,33.21847507331378
D_chunk_plus_state_plus_frozen_ACT_latent,monotone_conditional_survival_shared_mlp,arm,341,24.378299120234605,19.0,0.03812316715542522,0.11436950146627566,0.20821114369501467,0.26860958182459294,0.5747800586510264,0.3870967741935484,48.46041055718475,43.976539589442815
D_chunk_plus_state_plus_frozen_ACT_latent,monotone_conditional_survival_shared_mlp,gripper,341,8.281524926686217,5.0,0.06158357771260997,0.3020527859237537,0.5571847507331378,0.7816563955871332,0.3284457478005865,0.6099706744868035,18.348973607038122,22.46041055718475
D_chunk_plus_state_plus_frozen_ACT_latent,monotone_conditional_survival_shared_mlp,overall,682,16.32991202346041,9.0,0.04985337243401759,0.20821114369501467,0.38269794721407624,0.6165008659362495,0.45161290322580644,0.49853372434017595,33.40469208211144,33.21847507331378
empirical_group_offset_prior_train_only|train_only,baseline,arm,341,27.287390029325515,28.0,0.005865102639296188,0.04398826979472141,0.11730205278592376,nan,0.6891495601173021,0.30498533724340177,53.0,43.976539589442815
empirical_group_offset_prior_train_only|train_only,baseline,gripper,341,14.730205278592376,13.0,0.020527859237536656,0.11143695014662756,0.2668621700879765,nan,0.5513196480938416,0.4281524926686217,20.0,22.46041055718475
empirical_group_offset_prior_train_only|train_only,baseline,overall,682,21.008797653958943,17.0,0.013196480938416423,0.07771260997067449,0.19208211143695014,0.3875678932766282,0.6202346041055719,0.36656891495601174,36.5,33.21847507331378
